iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,21.105497360229492,0.35456895253014387,0.6454310700628872,0.0,0.09079343979943928
1000,0.16608372330665588,0.9809153134530029,0.019084696360207397,0.0,0.0014988440905538585
2000,0.14914798736572266,0.9917851182597687,0.008214858324161727,0.0,0.0008955179736812636
3000,0.13692060112953186,0.9919181253785947,0.008081900128594324,0.0,0.0008098604359275014
4000,0.12649166584014893,0.993227241070259,0.006772758929741049,0.0,0.0006025302970671864
5000,0.13074859976768494,0.926130591414332,0.07386937297065665,0.0,0.0021512343224755833
6000,0.11392857879400253,0.9852293160101195,0.014770691142670949,0.0,0.0009136514393074301
7000,0.10980357974767685,0.9803907518917445,0.0196092269039701,0.0,0.0010652773687504207
8000,0.1030600368976593,0.9944524063790712,0.005547574417942576,0.0,0.0005828597351551079
9000,0.09811145067214966,0.9947911255943821,0.005208892204048268,0.0,0.0005633498913974652
10000,0.09447129815816879,0.9931771380179204,0.006822882930881061,0.0,0.0006459137264614331
11000,0.09241821616888046,0.9925005822641964,0.007499427183236789,0.0,0.0006620464254756922
12000,0.09276896715164185,0.9862057915516849,0.01379422476195142,0.0,0.0008213816763676556
13000,0.09091688692569733,0.9925242516835266,0.007475763041748773,0.0,0.0006367938527937711
14000,0.09039726108312607,0.9927094189648572,0.007290599064610607,0.0,0.0006114538367059429
15000,0.08967035263776779,0.9937153473961832,0.006284685060286152,0.0,0.000575116716679529
16000,0.08328588306903839,0.9933050598643353,0.006694953414572442,0.0,0.000583913548254654
17000,0.06475582718849182,0.9908301098329609,0.009169922526687361,0.0,0.0005744185291694792
18000,0.06323715299367905,0.9927535010999056,0.007246523292448337,0.0,0.0004942206735204754
19000,0.06258119642734528,0.9946376608338633,0.005362288939968612,0.0,0.00043034179805149353
