iter,cost,mean_rel_alphaD
0,27897.814453125,0.9484572712811475
1000,4.93538236618042,0.007797890806503931
2000,1.1573470830917358,0.004774510179840721
3000,0.8402222394943237,0.004044069032876305
4000,0.6327042579650879,0.003391834464544195
5000,0.39862358570098877,0.002695880762252662
6000,0.17112387716770172,0.0017912416712932762
7000,0.06809723377227783,0.0011446454115021775
8000,0.03615282103419304,0.0008524193001179176
9000,0.02584928832948208,0.0007226484939566074
10000,0.020214278250932693,0.0006343623140994161
11000,0.025802666321396828,0.0006659920388737737
12000,0.01171902660280466,0.00046643460854733297
13000,0.009728708304464817,0.00042164525313212307
14000,0.009133541956543922,0.0004001144523070484
15000,0.047153059393167496,0.0008995320075922004
16000,0.006363174878060818,0.0003466032722025735
17000,0.00547082768753171,0.000320317046468856
18000,0.00510646915063262,0.0003124516224591268
19000,0.004739479627460241,0.00030166895564598357
20000,0.0163648072630167,0.0005373095357063794
21000,0.06887495517730713,0.001011809718355534
22000,0.003966731950640678,0.0002751650754461677
23000,0.005731772165745497,0.00032115127138868587
24000,0.003635336644947529,0.0002656477621544204
25000,0.00478953355923295,0.00029874241878723206
26000,0.004799093119800091,0.0002875095193950824
27000,0.009732846170663834,0.0004085275191286675
28000,0.0029941892717033625,0.00024288610843711206
29000,0.004132707603275776,0.0002807122515151384
