iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,20.77092742919922,0.35914923560700196,0.6408508103068995,0.0,0.08963489215534522
1000,0.15961125493049622,0.9979250942693391,0.0020748876788059933,0.0,0.0004536734283823658
2000,0.14683158695697784,0.9981721588670085,0.0018278550078544092,0.0,0.0004004376342527851
3000,0.13502545654773712,0.9970893034799791,0.0029107439395435917,0.0,0.0004664416295541651
4000,0.12797731161117554,0.9978341746995836,0.0021657993752221016,0.0,0.00039921200565282643
5000,0.12337245047092438,0.9975633455866589,0.0024366756445376074,0.0,0.0004388132433864058
6000,0.12106333673000336,0.9963798044488821,0.0036201962723229697,0.0,0.0005121698843027889
7000,0.11924052983522415,0.9975925683975443,0.00240742696499911,0.0,0.00040789827865434923
8000,0.11795330047607422,0.9978749226854136,0.0021250563416626324,0.0,0.00037770991008945193
9000,0.11710216850042343,0.9977964250218566,0.0022035513674457143,0.0,0.00039637354510707677
10000,0.11895167827606201,0.9762696562271068,0.02373037313321588,0.0,0.0011778393390981135
11000,0.11417746543884277,0.9970049541131145,0.0029950484358849537,0.0,0.00043822739209514733
12000,0.11316806077957153,0.9952699161770631,0.00473005656254197,0.0,0.0005491880019040617
13000,0.11203766614198685,0.9953616443116884,0.004638343219434743,0.0,0.0005824087998249173
14000,0.11155079305171967,0.9939732545093559,0.006026748099664616,0.0,0.0005908945788144294
15000,0.1108282059431076,0.9923691320601999,0.007630845881139703,0.0,0.0007600864056471212
16000,0.10955900698900223,0.9966863113246112,0.003313699301199115,0.0,0.00047461054259641234
17000,0.10900632292032242,0.9974343465922508,0.002565667024347837,0.0,0.0003738455421296509
18000,0.10834238678216934,0.9971073073841439,0.0028927014805897534,0.0,0.0004191209268902596
19000,0.10791285336017609,0.9972166869260578,0.0027833405830907294,0.0,0.0004260654433766495
