iter,cost,mean_rel_alphaD
0,29209.72265625,0.9650790265219187
1000,18.98784637451172,0.01609559977131283
2000,5.351986408233643,0.010725559615332707
3000,4.293832302093506,0.009812388799738985
4000,3.4838221073150635,0.008840585240277416
5000,1.7269032001495361,0.006008644084249588
6000,0.7571402192115784,0.0038869076164522666
7000,0.2566988170146942,0.0022782087020970726
8000,0.1696038693189621,0.0017446757487187706
9000,0.11195952445268631,0.00139910295793773
10000,0.05846168100833893,0.0011109016970380938
11000,0.03783510997891426,0.0008789591346790921
12000,0.24864722788333893,0.0019415264319654077
13000,0.05317511782050133,0.000935483039317653
14000,0.02655663900077343,0.0007518478512325022
15000,0.010303565301001072,0.0005036905808861583
16000,0.008996978402137756,0.00047177814720173844
17000,0.007815015502274036,0.0004372009834657219
18000,0.007020738907158375,0.00040981066823213383
19000,0.007594158872961998,0.000402497373108368
20000,0.0058259135112166405,0.0003585245425733112
21000,0.006909914314746857,0.00038053118410757964
22000,0.007085027173161507,0.00037059180411063
23000,0.004717853851616383,0.0003083641671212695
24000,0.005023638717830181,0.0003131450895002986
25000,0.004276602528989315,0.0002923115715502054
26000,0.019130753353238106,0.000592236942045925
27000,0.00422799214720726,0.00029040735845019846
28000,0.004017075523734093,0.00027936797975619803
29000,0.003822978353127837,0.00027767334141803055
