# sample_index  vpair_t0  override_cs0  override_ct  override_cf
1	-2.500000e+02	1.250000e+02	-1.250000e+02	-1.250000e+02
2	-3.750000e+02	6.250000e+01	-6.250000e+01	-6.250000e+01
3	-1.250000e+02	1.875000e+02	-1.875000e+02	-1.875000e+02
4	-1.875000e+02	9.375000e+01	-1.562500e+02	-2.187500e+02
5	-4.375000e+02	2.187500e+02	-3.125000e+01	-9.375000e+01
6	-3.125000e+02	3.125000e+01	-2.187500e+02	-1.562500e+02
7	-6.250000e+01	1.562500e+02	-9.375000e+01	-3.125000e+01
8	-9.375000e+01	7.812500e+01	-2.343750e+02	-1.093750e+02
9	-3.437500e+02	2.031250e+02	-1.093750e+02	-2.343750e+02
10	-4.687500e+02	1.562500e+01	-1.718750e+02	-4.687500e+01
11	-2.187500e+02	1.406250e+02	-4.687500e+01	-1.718750e+02
12	-1.562500e+02	4.687500e+01	-7.812500e+01	-1.406250e+02
13	-4.062500e+02	1.718750e+02	-2.031250e+02	-1.562500e+01
14	-2.812500e+02	1.093750e+02	-1.562500e+01	-2.031250e+02
15	-3.125000e+01	2.343750e+02	-1.406250e+02	-7.812500e+01
16	-4.687500e+01	1.171875e+02	-1.171875e+02	-1.640625e+02
17	-2.968750e+02	2.421875e+02	-2.421875e+02	-3.906250e+01
18	-4.218750e+02	5.468750e+01	-5.468750e+01	-2.265625e+02
19	-1.718750e+02	1.796875e+02	-1.796875e+02	-1.015625e+02
20	-2.343750e+02	2.343750e+01	-2.109375e+02	-7.031250e+01
21	-4.843750e+02	1.484375e+02	-8.593750e+01	-1.953125e+02
22	-3.593750e+02	8.593750e+01	-1.484375e+02	-7.812500e+00
23	-1.093750e+02	2.109375e+02	-2.343750e+01	-1.328125e+02
24	-7.812500e+01	3.906250e+01	-1.328125e+02	-2.109375e+02
25	-3.281250e+02	1.640625e+02	-7.812500e+00	-8.593750e+01
26	-4.531250e+02	1.015625e+02	-1.953125e+02	-1.484375e+02
27	-2.031250e+02	2.265625e+02	-7.031250e+01	-2.343750e+01
28	-1.406250e+02	7.031250e+01	-3.906250e+01	-5.468750e+01
29	-3.906250e+02	1.953125e+02	-1.640625e+02	-1.796875e+02
30	-2.656250e+02	7.812500e+00	-1.015625e+02	-1.171875e+02
31	-1.562500e+01	1.328125e+02	-2.265625e+02	-2.421875e+02
32	-2.343750e+01	6.640625e+01	-1.757812e+02	-1.367188e+02
33	-2.734375e+02	1.914062e+02	-5.078125e+01	-1.171875e+01
34	-3.984375e+02	3.906250e+00	-2.382812e+02	-1.992188e+02
35	-1.484375e+02	1.289062e+02	-1.132812e+02	-7.421875e+01
36	-2.109375e+02	3.515625e+01	-1.953125e+01	-1.054688e+02
37	-4.609375e+02	1.601562e+02	-1.445312e+02	-2.304688e+02
38	-3.359375e+02	9.765625e+01	-8.203125e+01	-4.296875e+01
39	-8.593750e+01	2.226562e+02	-2.070312e+02	-1.679688e+02
40	-1.171875e+02	1.953125e+01	-6.640625e+01	-2.460938e+02
41	-3.671875e+02	1.445312e+02	-1.914062e+02	-1.210938e+02
42	-4.921875e+02	8.203125e+01	-3.906250e+00	-1.835938e+02
43	-2.421875e+02	2.070312e+02	-1.289062e+02	-5.859375e+01
44	-1.796875e+02	1.132812e+02	-2.226562e+02	-2.734375e+01
45	-4.296875e+02	2.382812e+02	-9.765625e+01	-1.523438e+02
46	-3.046875e+02	5.078125e+01	-1.601562e+02	-8.984375e+01
47	-5.468750e+01	1.757812e+02	-3.515625e+01	-2.148438e+02
48	-3.906250e+01	5.859375e+01	-1.992188e+02	-3.515625e+01
49	-2.890625e+02	1.835938e+02	-7.421875e+01	-1.601562e+02
50	-4.140625e+02	1.210938e+02	-1.367188e+02	-9.765625e+01
