iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,20.37427520751953,0.3701211562866388,0.629878820309478,0.0,0.08959928945875777
1000,0.11624129116535187,0.9967500856640602,0.0032499220975426815,0.0,0.0005010241773105175
2000,0.09759081900119781,0.9960480723702664,0.003951896614537725,0.0,0.0005039185086140989
3000,0.0832647830247879,0.9965241270946283,0.0034758830418429062,0.0,0.00043318153383672036
4000,0.07649117708206177,0.9928601568289477,0.007139809688274609,0.0,0.0005609194670930374
5000,0.07320984452962875,0.9828510087309673,0.017149026252539293,0.0,0.0008417906193208695
6000,0.06934162974357605,0.9963816000127218,0.003618359274771685,0.0,0.0003718202337424199
7000,0.0629732683300972,0.9956481970400594,0.004351861654471908,0.0,0.0003944868564139643
8000,0.05772823095321655,0.9970048987164939,0.0029950922087615215,0.0,0.00032756389024632827
9000,0.05597662553191185,0.9970362258071965,0.0029637726330186166,0.0,0.00031403962251089977
10000,0.05454403907060623,0.9965427167088958,0.003457302233338756,0.0,0.000334112361087435
11000,0.05362367257475853,0.9959362937011684,0.0040636745484124315,0.0,0.00034902598343058587
12000,0.05278792977333069,0.996641461573595,0.0033585329130555552,0.0,0.0003167255892184279
13000,0.06267261505126953,0.8679281283762192,0.13207188648390067,0.0,0.002107365793999097
14000,0.049823589622974396,0.9965842251976871,0.003415806929879117,0.0,0.0003143496182142042
15000,0.05018502473831177,0.9893770821827511,0.010622946813777888,0.0,0.0005672342661181106
16000,0.04891366884112358,0.9964802417152019,0.0035197945800444367,0.0,0.00032485521704703603
17000,0.04881470650434494,0.9921002613175404,0.007899733316566945,0.0,0.0004733535511867418
18000,0.05194661766290665,0.946393275423947,0.053606742504507573,0.0,0.0012159352974510321
19000,0.04825417697429657,0.9971816854796199,0.0028183335191635504,0.0,0.00029321063033009424
