# Re(EQRPA)	Im(Strength)
0.000000e+00	3.854459e-03
1.500000e-01	3.974692e-03
3.000000e-01	4.101631e-03
4.500000e-01	4.235829e-03
6.000000e-01	4.379972e-03
7.500000e-01	4.531025e-03
9.000000e-01	4.691381e-03
1.050000e+00	4.861894e-03
1.200000e+00	5.045561e-03
1.350000e+00	5.239691e-03
1.500000e+00	5.447305e-03
1.650000e+00	5.669797e-03
1.800000e+00	5.908753e-03
1.950000e+00	6.169311e-03
2.100000e+00	6.447278e-03
2.250000e+00	6.748038e-03
2.400000e+00	7.074367e-03
2.550000e+00	7.429490e-03
2.700000e+00	7.817174e-03
2.850000e+00	8.243194e-03
3.000000e+00	8.710304e-03
3.150000e+00	9.225889e-03
3.300000e+00	9.797909e-03
3.450000e+00	1.043412e-02
3.600000e+00	1.114645e-02
3.750000e+00	1.194790e-02
3.900000e+00	1.285514e-02
4.050000e+00	1.388836e-02
4.200000e+00	1.507394e-02
4.350000e+00	1.644498e-02
4.500000e+00	1.804476e-02
4.650000e+00	1.993019e-02
4.800000e+00	2.217801e-02
4.950000e+00	2.489334e-02
5.100000e+00	2.822508e-02
5.250000e+00	3.239069e-02
5.400000e+00	3.772191e-02
5.550000e+00	4.475497e-02
5.700000e+00	5.441915e-02
5.850000e+00	6.846609e-02
6.000000e+00	9.026938e-02
6.150000e+00	1.234191e-01
6.300000e+00	1.570973e-01
6.450000e+00	1.897552e-01
6.600000e+00	2.564547e-01
6.750000e+00	3.926985e-01
6.900000e+00	6.700310e-01
7.050000e+00	1.190675e+00
7.200000e+00	1.605444e+00
7.350000e+00	1.176364e+00
7.500000e+00	6.602283e-01
7.650000e+00	3.855050e-01
7.800000e+00	2.472273e-01
7.950000e+00	1.725970e-01
8.100000e+00	1.294884e-01
8.250000e+00	1.036675e-01
8.400000e+00	8.862347e-02
8.550000e+00	8.170932e-02
8.700000e+00	8.305732e-02
8.850000e+00	9.639881e-02
9.000000e+00	1.317798e-01
9.150000e+00	1.975869e-01
9.300000e+00	2.227552e-01
9.450000e+00	1.538654e-01
9.600000e+00	9.604553e-02
9.750000e+00	6.602130e-02
9.900000e+00	5.030352e-02
1.005000e+01	4.144156e-02
1.020000e+01	3.620102e-02
1.035000e+01	3.317521e-02
1.050000e+01	3.186021e-02
1.065000e+01	3.241594e-02
1.080000e+01	3.568385e-02
1.095000e+01	4.068219e-02
1.110000e+01	3.921904e-02
1.125000e+01	3.457154e-02
1.140000e+01	3.344349e-02
1.155000e+01	3.650397e-02
1.170000e+01	4.387285e-02
1.185000e+01	4.715779e-02
1.200000e+01	3.975432e-02
1.215000e+01	3.366741e-02
1.230000e+01	3.097954e-02
1.245000e+01	3.012141e-02
1.260000e+01	3.022392e-02
1.275000e+01	3.092335e-02
1.290000e+01	3.208518e-02
1.305000e+01	3.366404e-02
1.320000e+01	3.556847e-02
1.335000e+01	3.772560e-02
1.350000e+01	3.985394e-02
1.365000e+01	4.226868e-02
1.380000e+01	4.523836e-02
