iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,259.494873046875,0.12951649969281892,0.8704835444085988,0.0,0.42595013281028615
1000,0.23750603199005127,0.9513698681704222,0.04863012398706047,0.0,0.002837920466843754
2000,0.17763696610927582,0.9876953430559394,0.012304693643955653,0.0,0.0012999542255939737
3000,0.1575603187084198,0.9932784133908169,0.006721585131459261,0.0,0.0008445386550568913
4000,0.13695251941680908,0.9943620353034058,0.0056379991232740215,0.0,0.0007062710075982563
5000,0.11555890738964081,0.994704660602729,0.005295327308338192,0.0,0.0005780365516903777
6000,0.09967413544654846,0.994537314744855,0.005462663063920593,0.0,0.0005742446954667292
7000,0.08837412297725677,0.9950566435220742,0.004943391715727875,0.0,0.0005181584901693169
8000,0.08214257657527924,0.9956850754513156,0.004314914273731768,0.0,0.0004791407717490095
9000,0.07917811721563339,0.9933887933941006,0.006611245568761094,0.0,0.000560970878194404
10000,0.07770238071680069,0.9825034660438926,0.01749653545432814,0.0,0.0008631367351800702
11000,0.07421398162841797,0.9956481546922988,0.004351875896260473,0.0,0.00046018504408140096
12000,0.07207711040973663,0.9921790576126217,0.007820986803994531,0.0,0.0005925518639303235
13000,0.07086395472288132,0.9943644329174481,0.005635523548345482,0.0,0.0005014390944648276
14000,0.06931083649396896,0.9974668761675992,0.0025331095556977118,0.0,0.00032836884439578365
15000,0.06835916638374329,0.9963076887528867,0.0036923189105910704,0.0,0.0004055591469173142
16000,0.06769832223653793,0.9864359754201786,0.013564053813344574,0.0,0.0007799898710454957
17000,0.06525859981775284,0.9956026245878317,0.004397366938606515,0.0,0.0004334649857504368
18000,0.06552989035844803,0.9848453822865987,0.015154599948176709,0.0,0.0008408058029241547
19000,0.06355960667133331,0.9977691492007925,0.002230861788764652,0.0,0.000287130330008412
20000,0.06446138769388199,0.9876242810650795,0.012375751442377542,0.0,0.0007088707642898323
21000,0.06393353641033173,0.989228079571948,0.010771945920377243,0.0,0.0007029157677802167
22000,0.06277169287204742,0.9939510917055446,0.0060489273039322855,0.0,0.0005099014966413268
23000,0.06242774799466133,0.9984563028809056,0.0015436824337871852,0.0,0.0002394201918836245
24000,0.06238393485546112,0.9979955882159743,0.0020044206480509443,0.0,0.0002659084659697392
25000,0.0621086023747921,0.9984857982632235,0.001514195879328948,0.0,0.00024341361430324894
26000,0.062284570187330246,0.9925146179103337,0.007485358258798603,0.0,0.0005786173260568357
27000,0.062266115099191666,0.9982428958254222,0.001757075662542666,0.0,0.00026810654045102253
28000,0.06170905381441116,0.9980790102057978,0.001921017738269502,0.0,0.0002721579059147663
29000,0.06159890815615654,0.9974337374921615,0.0025662773907428886,0.0,0.0003148430287497018
