iter,cost,mean_rel_alphaD
0,29474.955078125,0.9692436886007069
1000,13.678367614746094,0.01398757192204955
2000,5.64306640625,0.010037069490306251
3000,4.565625190734863,0.008874553295112083
4000,3.7209577560424805,0.008067623494030465
5000,2.3941280841827393,0.006333040672578953
6000,0.4345962107181549,0.003093083823894017
7000,0.12870366871356964,0.0017049500298110232
8000,0.06152968481183052,0.0011645474235765444
9000,0.03563816845417023,0.0008743491908848472
10000,0.025766601786017418,0.0007404317344595427
11000,0.020072247833013535,0.000647236382325887
12000,0.02029429003596306,0.0006396762984681523
13000,0.012949345633387566,0.0005115196669454983
14000,0.02024255320429802,0.0006456145835733194
15000,0.007918265648186207,0.00040052019137652554
16000,0.008741282857954502,0.0004186021109067694
17000,0.3218676745891571,0.002383826677022937
18000,0.005614808760583401,0.0003242959350505455
19000,0.0035690495278686285,0.00025843306838209694
20000,0.0030738108325749636,0.00024014580136607437
21000,0.003982105758041143,0.0002812148232417689
22000,0.003002384677529335,0.00023951350510507325
23000,0.004177185706794262,0.0002903475701262063
24000,0.023140382021665573,0.0006731300318179664
25000,0.1723523586988449,0.0017127678134832088
26000,0.002287160139530897,0.00021610858482858252
27000,0.002600030042231083,0.0002312423610108302
28000,0.004399341531097889,0.00030246204287486005
29000,0.0019203026313334703,0.00019028898079907875
