iter,cost,mean_rel_alphaD
0,29454.55078125,0.9719967461374597
1000,25.07591438293457,0.016116166960453124
2000,5.609737873077393,0.01010200388220821
3000,3.4044384956359863,0.007914336511875456
4000,1.497290849685669,0.005383915220688338
5000,0.9770169854164124,0.004084718717092479
6000,0.2776140868663788,0.0021367017219556107
7000,0.11890240758657455,0.00147852915541818
8000,0.07433144003152847,0.0012465584043559101
9000,0.03898269683122635,0.0009131424546628882
10000,0.03919731825590134,0.0009201496450062959
11000,0.2875417470932007,0.0022168343618931582
12000,0.02469315566122532,0.0006783341902485909
13000,0.10820280760526657,0.0013231154677339398
14000,0.026614606380462646,0.0006991232714028677
15000,0.008786279708147049,0.0004347005887967763
16000,0.008190924301743507,0.0004196257050619818
17000,0.046794380992650986,0.0008105054356001187
18000,0.14671126008033752,0.0015499668965916875
19000,0.1431693136692047,0.001574083040046082
20000,0.007725213188678026,0.000412187159309909
21000,0.0055194394662976265,0.00034249744133114045
22000,0.00436570355668664,0.00030245349205568347
23000,0.006689027883112431,0.00037283826655533256
24000,0.005670030601322651,0.00032278189453937385
25000,0.049912914633750916,0.0009845220009553094
26000,0.007537854369729757,0.00037961380469035054
27000,0.0117038544267416,0.00042206354964263157
28000,0.003381886752322316,0.000261426991141117
29000,0.0030804164707660675,0.00024759746844017517
