iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,21.453941345214844,0.35690892123110474,0.6430910565428087,0.0,0.09152609918445334
1000,0.17051029205322266,0.9824555316762961,0.01754444784130601,0.0,0.001425914277451145
2000,0.16000996530056,0.9808297325212582,0.01917028348485163,0.0,0.001454861210384109
3000,0.15580517053604126,0.9848081104003593,0.015191849251638403,0.0,0.0012791239295140515
4000,0.15300391614437103,0.9899226902744364,0.010077345486217802,0.0,0.001021000737801234
5000,0.1497298628091812,0.992816525067522,0.007183515362600729,0.0,0.0008085995632728494
6000,0.13896720111370087,0.9961742157431789,0.0038257943094367735,0.0,0.0005125299390908492
7000,0.13344821333885193,0.9941139346090997,0.0058860457627263425,0.0,0.0006905481684595772
8000,0.12729305028915405,0.9921947834425833,0.007805274173800806,0.0,0.00080811844333683
9000,0.1255246102809906,0.9911512766070096,0.008848707626675993,0.0,0.0008373917473231661
10000,0.12341654300689697,0.9921121363710563,0.007887857497678194,0.0,0.0008003026296006362
11000,0.12202630937099457,0.990205270527816,0.009794743782457226,0.0,0.0009233639713109891
12000,0.12134343385696411,0.9899839375578702,0.010016033660517584,0.0,0.000849155269143821
13000,0.12083476036787033,0.9913154797333139,0.008684544352330322,0.0,0.0008183517595248402
14000,0.1209300234913826,0.9857398391825791,0.01426014926541898,0.0,0.0010447990781970045
15000,0.11227068305015564,0.9914301921942121,0.008569832691783427,0.0,0.0007525579453864523
16000,0.10353323817253113,0.9911966008050088,0.00880337951756031,0.0,0.0007266178835538818
17000,0.10212591290473938,0.9910750684973081,0.008924967980116593,0.0,0.0007300062212072145
18000,0.10140513628721237,0.9905760072450654,0.00942398644081383,0.0,0.0007469063554475706
19000,0.1008877158164978,0.9914694865636899,0.008530503628076969,0.0,0.0007000990594122572
