iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,25.556005477905273,0.3125963572455163,0.6874036427544837,0.0,0.09328557340360662
1000,0.3986762464046478,0.9976463957187351,0.0023536077853207903,0.0,0.0007002676997215743
2000,0.38255608081817627,0.9984843942858977,0.0015155772611953053,0.0,0.0005295079889714889
3000,0.3754115402698517,0.9980429827730566,0.0019569800148784753,0.0,0.0006395203710228208
4000,0.2168431580066681,0.9488018840994611,0.05119808154123206,0.0,0.0017674163362628313
5000,0.18390759825706482,0.9896023523253845,0.01039767426102936,0.0,0.0009093093068702123
6000,0.16594552993774414,0.9924047377540495,0.007595303636062087,0.0,0.0007408216531541429
7000,0.16048790514469147,0.9895768503367777,0.010423128627092947,0.0,0.0009402733775362093
8000,0.1519160121679306,0.9865742820118782,0.013425685802946195,0.0,0.0010223222524120632
9000,0.14401289820671082,0.9916383000870606,0.008361728205795992,0.0,0.0008141249704584416
10000,0.13984565436840057,0.9942949741621713,0.005705053308869168,0.0,0.00063095517656232
11000,0.13706305623054504,0.994357123707321,0.005642892005763987,0.0,0.0006382760942544915
12000,0.13563618063926697,0.9949135336982924,0.005086439694684583,0.0,0.0005679780501553259
13000,0.13455641269683838,0.991138467549243,0.008861496978436594,0.0,0.0007709832863423253
14000,0.13313034176826477,0.9949991191178732,0.0050008288525777165,0.0,0.0005644485066098126
15000,0.1321142315864563,0.9948475282527615,0.0051524770342687536,0.0,0.0005804691625796505
16000,0.12914036214351654,0.9957273226690058,0.004272720601241822,0.0,0.0005119284625389836
17000,0.12696585059165955,0.994515367229331,0.005484596094564026,0.0,0.0005881590211556839
18000,0.1277051419019699,0.9927306964512977,0.007269259336362609,0.0,0.0006535741206525781
19000,0.12633833289146423,0.9933593774879335,0.006640628501536017,0.0,0.0006282517543560103
