iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,21.383602142333984,0.35801093302873227,0.6419890223728736,0.0,0.09120787150230056
1000,0.1679498553276062,0.9794309676828625,0.020569003204617475,0.0,0.0015582329116726186
2000,0.14886096119880676,0.9918295396646009,0.008170485360699668,0.0,0.0008983877307998122
3000,0.13602985441684723,0.9913368764753431,0.008663113254971157,0.0,0.0007824938674103647
4000,0.12596049904823303,0.9921688769494997,0.007831104566082886,0.0,0.0006991527027457886
5000,0.11915507167577744,0.9957848328893084,0.0042151763922566535,0.0,0.0005311847472604393
6000,0.11374465376138687,0.996643183734582,0.003356818568246825,0.0,0.0004687440015902211
7000,0.10974091291427612,0.9966109441560072,0.0033890826296902148,0.0,0.000452116739292807
8000,0.10506308823823929,0.996297299353841,0.003702705909404,0.0,0.00047628654604759573
9000,0.10224951058626175,0.9954136265176942,0.004586362096889781,0.0,0.000508908095019819
10000,0.09816345572471619,0.993715501671464,0.006284483504368333,0.0,0.0006001610366853782
11000,0.09659627825021744,0.9894635784080026,0.010536403514387617,0.0,0.0007261764722673261
12000,0.09868355840444565,0.9673453914935829,0.0326546155845154,0.0,0.001347951615061777
13000,0.09483763575553894,0.9967983073467824,0.0032016929600981766,0.0,0.000421853906778128
14000,0.09454727917909622,0.9936616626691371,0.006338330558756039,0.0,0.0005727135484606806
15000,0.09447716176509857,0.9953255034694977,0.004674512857231294,0.0,0.0005429259612492717
16000,0.09401539713144302,0.997021682314418,0.0029783458559525106,0.0,0.00042031613791194955
17000,0.09363590180873871,0.9967584895697651,0.0032415175790751743,0.0,0.0004186329917419583
18000,0.09337285161018372,0.997281183681325,0.002718843436120863,0.0,0.00039257440270178313
19000,0.0966246947646141,0.9765898741027179,0.02341016204186881,0.0,0.0011529640809216184
