iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,26.837749481201172,0.30489328541345817,0.6951067145865418,0.0,0.09597503319742805
1000,0.5360985994338989,0.979701235523794,0.020298794008989308,0.0,0.0025558863187218357
2000,0.5138463377952576,0.9856113814421701,0.014388658431806105,0.0,0.0019071560766003644
3000,0.5027878284454346,0.9896462281485837,0.010353795931540725,0.0,0.0015137566557344
4000,0.44063422083854675,0.9940394573476735,0.005960562731485223,0.0,0.0010437830113239576
5000,0.43459445238113403,0.9967713510032868,0.0032286508718113475,0.0,0.0007724882536887829
6000,0.4334889054298401,0.99491223180489,0.005087739728351239,0.0,0.00100422424789057
7000,0.4322429895401001,0.9970210294388978,0.002978966251847464,0.0,0.000748851381190997
8000,0.4318663775920868,0.9968376991257558,0.0031623186654213906,0.0,0.0007846774347449207
9000,0.4316807687282562,0.9969274694312377,0.0030725578063609147,0.0,0.000773536378887076
10000,0.4315685033798218,0.9969088537588057,0.0030911715976329316,0.0,0.0007756804099269893
11000,0.43148326873779297,0.9969170840304745,0.0030829043680122414,0.0,0.0007719321376674197
12000,0.43141570687294006,0.9969371871569516,0.0030628052873916244,0.0,0.0007664216157510367
13000,0.4313914477825165,0.9972022290699992,0.0027977380070735285,0.0,0.0007327891273536264
14000,0.4313147962093353,0.9969229967711919,0.00307698109635065,0.0,0.0007674102338555526
15000,0.4313200116157532,0.9971846990796049,0.0028153192739183808,0.0,0.0007340900741216612
16000,0.4312340021133423,0.9968920812516431,0.0031078990413800816,0.0,0.0007695788491462058
17000,0.4312293827533722,0.9964084843199807,0.0035915000222534648,0.0,0.0008450583898028859
18000,0.43116775155067444,0.9967732702387385,0.0032267014112544947,0.0,0.0007868280954021768
19000,0.4311710298061371,0.9963457907162708,0.00365420199378284,0.0,0.0008536370715869815
