iter,cost,mean_rel_alphaD
0,24825.541015625,0.8947386551344665
1000,53.59000778198242,0.019166186128372432
2000,14.288228034973145,0.011749680832992014
3000,4.486611366271973,0.00785095051642472
4000,1.0175671577453613,0.003999466875504205
5000,0.33893707394599915,0.002248051272715472
6000,0.24901075661182404,0.001748202423499477
7000,0.17906878888607025,0.0015955282855514607
8000,0.07118198275566101,0.0010858093830017055
9000,0.03810044005513191,0.0008987199471626348
10000,0.025443706661462784,0.0007501555891945687
11000,0.018030870705842972,0.0006292619715593719
12000,0.015629254281520844,0.0005780705935047852
13000,0.08293261379003525,0.0011298697745850226
14000,0.008584453724324703,0.0004336038552232242
15000,0.006415406242012978,0.00037405497821935927
16000,0.06813961267471313,0.0010597731382127565
17000,0.0042250570841133595,0.00030308924581812224
18000,0.0035471636801958084,0.00027810557721252605
19000,0.009769804775714874,0.00042927243695780096
20000,0.002440514974296093,0.0002273818588841325
21000,0.005447818897664547,0.00032227286794616803
22000,0.00606958195567131,0.0003460080154615912
23000,0.0017783618532121181,0.0001891793989552574
24000,0.0018358950037509203,0.00018672873885207738
25000,0.0014886831631883979,0.0001724978941423957
26000,0.0014358353801071644,0.00017058760488403756
27000,0.004237608052790165,0.0002849451426430535
28000,0.0011950958287343383,0.00015359682265596398
29000,0.0038037702906876802,0.0002688847990828714
30000,0.0011686726938933134,0.00015201531953444133
31000,0.0037328130565583706,0.0002691980975481656
32000,0.0009335257927887142,0.000135266907244142
33000,0.0008885718416422606,0.0001321050618191291
34000,0.0008545400341972709,0.00012929654532325673
35000,0.0010051667923107743,0.00013993812069308504
36000,0.0007994883344508708,0.00012496477330019417
37000,0.0007715067476965487,0.0001222639064270064
38000,0.01391659677028656,0.000499521916410555
39000,0.0007656217203475535,0.00012299932174844168
40000,0.0078007252886891365,0.00037802763667018247
41000,0.003684561001136899,0.00026092098194880947
42000,0.00093840277986601,0.0001368338006299046
43000,0.0016545315738767385,0.00016900906114487697
44000,0.0014456264907494187,0.00016764739503396075
45000,0.0006761577096767724,0.00011653993732913537
46000,0.0006503616459667683,0.00011075671952059298
47000,0.0006655965698882937,0.00011555436661660239
48000,0.00620680395513773,0.00035557822269191136
49000,0.0005969216581434011,0.00010441049787848113
50000,0.0005926728481426835,0.00010606756167597765
51000,0.000564282585401088,0.00010243694303367659
52000,0.0005584531463682652,0.00010126584585606951
53000,0.0007877409807406366,0.00011906370302104521
54000,0.000539043452590704,9.906547240405161e-05
55000,0.0007422303315252066,0.00011876442150356727
56000,0.0005255610449239612,9.762713270878964e-05
57000,0.0005316036404110491,9.88116144014318e-05
58000,0.0011687143705785275,0.00015299247835750507
59000,0.0005664093187078834,0.00010055601120567767
60000,0.0008132013608701527,0.00012281783541876387
61000,0.0005153674865141511,9.616500529074874e-05
62000,0.000491663406137377,9.248443804682366e-05
63000,0.0004895054153166711,9.267630682295225e-05
64000,0.0011652527609840035,0.00014200918972917499
65000,0.0005023026023991406,9.469880903659781e-05
66000,0.00046813578228466213,8.949900237832347e-05
