index,q,theta,sample_id,rmse,relative_l2_error,selected_labels
0,0.05000000074505806,0.39269909262657166,0.05_0.3926990817,0.00015092907415237278,0.5597898960113525,
1,0.05000000074505806,0.7853981852531433,0.05_0.7853981634,0.00012451283691916615,0.5644895434379578,q_min_theta_mid;best_rmse
2,0.05000000074505806,0.0,0.05_0,0.0001749485090840608,0.566996157169342,q_min_theta_min
3,0.05000000074505806,1.1780972480773926,0.05_1.1780972451,0.00014745982480235398,0.5675512552261353,
4,0.05000000074505806,1.5707963705062866,0.05_1.5707963268,0.00017023386317305267,0.5742341876029968,q_min_theta_max
5,0.21111111342906952,0.39269909262657166,0.2111111111_0.3926990817,0.0024960481096059084,0.5572975277900696,
6,0.21111111342906952,0.7853981852531433,0.2111111111_0.7853981634,0.002012113342061639,0.5459592342376709,
7,0.21111111342906952,0.0,0.2111111111_0,0.0028288771864026785,0.5530547499656677,
8,0.21111111342906952,1.1780972480773926,0.2111111111_1.1780972451,0.0024960984010249376,0.5739449262619019,
9,0.21111111342906952,1.5707963705062866,0.2111111111_1.5707963268,0.0028345745522528887,0.5712486505508423,
10,0.3722222149372101,0.39269909262657166,0.3722222222_0.3926990817,0.006724323611706495,0.5590953826904297,
11,0.3722222149372101,0.7853981852531433,0.3722222222_0.7853981634,0.005400846246629953,0.5379385352134705,
12,0.3722222149372101,0.0,0.3722222222_0,0.008085808716714382,0.5913758873939514,
13,0.3722222149372101,1.1780972480773926,0.3722222222_1.1780972451,0.006902660708874464,0.5800930857658386,
14,0.3722222149372101,1.5707963705062866,0.3722222222_1.5707963268,0.007907401770353317,0.5827528834342957,
15,0.5333333611488342,0.39269909262657166,0.5333333333_0.3926990817,0.010823340155184269,0.5345749855041504,
16,0.5333333611488342,0.7853981852531433,0.5333333333_0.7853981634,0.00920158252120018,0.5302286148071289,
17,0.5333333611488342,0.0,0.5333333333_0,0.012426666915416718,0.5435003042221069,
18,0.5333333611488342,1.1780972480773926,0.5333333333_1.1780972451,0.011589983478188515,0.5589148998260498,
19,0.5333333611488342,1.5707963705062866,0.5333333333_1.5707963268,0.013483383692800999,0.5714344382286072,
20,0.6944444179534912,0.39269909262657166,0.6944444444_0.3926990817,0.014436202123761177,0.525344729423523,
21,0.6944444179534912,0.7853981852531433,0.6944444444_0.7853981634,0.012878453359007835,0.5248295664787292,
22,0.6944444179534912,0.0,0.6944444444_0,0.016293257474899292,0.5292914509773254,
23,0.6944444179534912,1.1780972480773926,0.6944444444_1.1780972451,0.01702435314655304,0.5734755396842957,median_rmse
24,0.6944444179534912,1.5707963705062866,0.6944444444_1.5707963268,0.018697179853916168,0.5561604499816895,
25,0.855555534362793,0.39269909262657166,0.8555555556_0.3926990817,0.01797652058303356,0.5411007404327393,
26,0.855555534362793,0.7853981852531433,0.8555555556_0.7853981634,0.015987221151590347,0.5133894085884094,q_mid_theta_mid
27,0.855555534362793,0.0,0.8555555556_0,0.019921181723475456,0.5397177934646606,q_mid_theta_min
28,0.855555534362793,1.1780972480773926,0.8555555556_1.1780972451,0.021682774648070335,0.5683505535125732,
29,0.855555534362793,1.5707963705062866,0.8555555556_1.5707963268,0.02361692301928997,0.550266444683075,q_mid_theta_max
30,1.0166666507720947,0.39269909262657166,1.0166666667_0.3926990817,0.019396593794226646,0.521265983581543,
31,1.0166666507720947,0.7853981852531433,1.0166666667_0.7853981634,0.01790378987789154,0.49382731318473816,
32,1.0166666507720947,0.0,1.0166666667_0,0.023391999304294586,0.5690169334411621,
33,1.0166666507720947,1.1780972480773926,1.0166666667_1.1780972451,0.02587531879544258,0.5778214931488037,
34,1.0166666507720947,1.5707963705062866,1.0166666667_1.5707963268,0.028145696967840195,0.5618658661842346,
35,1.1777777671813965,0.39269909262657166,1.1777777778_0.3926990817,0.019945595413446426,0.5116418600082397,
36,1.1777777671813965,0.7853981852531433,1.1777777778_0.7853981634,0.01858450658619404,0.48257067799568176,
37,1.1777777671813965,0.0,1.1777777778_0,0.02450469881296158,0.5686790347099304,
38,1.1777777671813965,1.1780972480773926,1.1777777778_1.1780972451,0.027534574270248413,0.5768705606460571,
39,1.1777777671813965,1.5707963705062866,1.1777777778_1.5707963268,0.02993406541645527,0.5618899464607239,worst_rmse
40,1.3388888835906982,0.39269909262657166,1.3388888889_0.3926990817,0.019315052777528763,0.5054926872253418,
41,1.3388888835906982,0.7853981852531433,1.3388888889_0.7853981634,0.017581643536686897,0.47296133637428284,
42,1.3388888835906982,0.0,1.3388888889_0,0.023860031738877296,0.5612198710441589,
43,1.3388888835906982,1.1780972480773926,1.3388888889_1.1780972451,0.026434291154146194,0.5738073587417603,
44,1.3388888835906982,1.5707963705062866,1.3388888889_1.5707963268,0.028850693255662918,0.559883713722229,
45,1.5,0.39269909262657166,1.5_0.3926990817,0.017848867923021317,0.5094253420829773,
46,1.5,0.7853981852531433,1.5_0.7853981634,0.014821073040366173,0.45198220014572144,q_max_theta_mid
47,1.5,0.0,1.5_0,0.02218387834727764,0.5647661089897156,q_max_theta_min
48,1.5,1.1780972480773926,1.5_1.1780972451,0.02340269275009632,0.5784645676612854,
49,1.5,1.5707963705062866,1.5_1.5707963268,0.025301504880189896,0.5557128190994263,q_max_theta_max
