# Re(EQRPA)	Im(Strength)
0.000000e+00	1.840089e-04
1.500000e-01	2.390059e-04
3.000000e-01	2.946563e-04
4.500000e-01	3.511591e-04
6.000000e-01	4.086924e-04
7.500000e-01	4.703867e-04
9.000000e-01	5.307329e-04
1.050000e+00	5.925162e-04
1.200000e+00	6.558461e-04
1.350000e+00	7.251281e-04
1.500000e+00	7.985051e-04
1.650000e+00	8.685350e-04
1.800000e+00	9.414166e-04
1.950000e+00	1.020597e-03
2.100000e+00	1.100682e-03
2.250000e+00	1.186003e-03
2.400000e+00	1.282331e-03
2.550000e+00	1.381737e-03
2.700000e+00	1.484480e-03
2.850000e+00	1.593860e-03
3.000000e+00	1.720916e-03
3.150000e+00	1.861782e-03
3.300000e+00	2.003985e-03
3.450000e+00	2.161217e-03
3.600000e+00	2.332380e-03
3.750000e+00	2.521971e-03
3.900000e+00	2.732457e-03
4.050000e+00	2.967968e-03
4.200000e+00	3.233115e-03
4.350000e+00	3.533896e-03
4.500000e+00	3.878744e-03
4.650000e+00	4.275535e-03
4.800000e+00	4.736340e-03
4.950000e+00	5.278144e-03
5.100000e+00	5.925520e-03
5.250000e+00	6.704090e-03
5.400000e+00	7.657665e-03
5.550000e+00	8.855743e-03
5.700000e+00	1.037981e-02
5.850000e+00	1.226203e-02
6.000000e+00	1.461266e-02
6.150000e+00	1.782011e-02
6.300000e+00	2.233640e-02
6.450000e+00	2.891603e-02
6.600000e+00	3.895860e-02
6.750000e+00	5.521590e-02
6.900000e+00	8.363053e-02
7.050000e+00	1.376767e-01
7.200000e+00	2.454145e-01
7.350000e+00	4.115806e-01
7.500000e+00	4.255274e-01
7.650000e+00	2.611826e-01
7.800000e+00	1.469357e-01
7.950000e+00	8.989588e-02
8.100000e+00	6.078285e-02
8.250000e+00	4.514402e-02
8.400000e+00	3.689561e-02
8.550000e+00	3.375122e-02
8.700000e+00	3.575564e-02
8.850000e+00	4.556499e-02
9.000000e+00	6.747026e-02
9.150000e+00	8.450600e-02
9.300000e+00	6.293336e-02
9.450000e+00	3.814830e-02
9.600000e+00	2.472811e-02
9.750000e+00	1.773189e-02
9.900000e+00	1.378965e-02
1.005000e+01	1.141398e-02
1.020000e+01	9.939451e-03
1.035000e+01	9.063091e-03
1.050000e+01	8.675498e-03
1.065000e+01	8.804744e-03
1.080000e+01	9.660646e-03
1.095000e+01	1.149658e-02
1.110000e+01	1.445742e-02
1.125000e+01	2.044903e-02
1.140000e+01	2.851084e-02
1.155000e+01	2.690499e-02
1.170000e+01	2.155340e-02
1.185000e+01	1.948626e-02
1.200000e+01	1.483067e-02
1.215000e+01	1.017755e-02
1.230000e+01	7.559063e-03
1.245000e+01	6.137542e-03
1.260000e+01	5.312028e-03
1.275000e+01	4.812029e-03
1.290000e+01	4.516685e-03
1.305000e+01	4.354713e-03
1.320000e+01	4.280957e-03
1.335000e+01	4.232869e-03
1.350000e+01	4.041667e-03
1.365000e+01	3.867359e-03
1.380000e+01	3.775868e-03
1.395000e+01	3.741769e-03
1.410000e+01	3.741278e-03
1.425000e+01	3.765750e-03
1.440000e+01	3.812156e-03
1.455000e+01	3.888824e-03
1.470000e+01	3.990687e-03
1.485000e+01	4.136160e-03
1.500000e+01	4.344504e-03
1.515000e+01	4.543033e-03
1.530000e+01	4.592684e-03
1.545000e+01	4.644457e-03
1.560000e+01	4.765530e-03
1.575000e+01	4.932944e-03
1.590000e+01	5.135925e-03
1.605000e+01	5.369592e-03
1.620000e+01	5.637416e-03
1.635000e+01	5.941188e-03
1.650000e+01	6.279247e-03
1.665000e+01	6.662155e-03
1.680000e+01	7.093425e-03
1.695000e+01	7.585259e-03
1.710000e+01	8.143307e-03
1.725000e+01	8.790930e-03
1.740000e+01	9.563099e-03
1.755000e+01	1.049473e-02
1.770000e+01	1.167719e-02
1.785000e+01	1.317118e-02
1.800000e+01	1.451270e-02
1.815000e+01	1.569366e-02
1.830000e+01	1.739656e-02
1.845000e+01	1.983937e-02
1.860000e+01	2.271042e-02
1.875000e+01	2.520110e-02
1.890000e+01	2.827620e-02
1.905000e+01	3.260337e-02
1.920000e+01	3.843424e-02
1.935000e+01	4.624911e-02
1.950000e+01	5.689298e-02
1.965000e+01	7.183637e-02
1.980000e+01	9.364676e-02
1.995000e+01	1.271285e-01
2.010000e+01	1.819168e-01
2.025000e+01	2.789093e-01
2.040000e+01	4.654602e-01
2.055000e+01	8.272550e-01
2.070000e+01	1.264028e+00
2.085000e+01	1.142513e+00
2.100000e+01	8.231283e-01
2.115000e+01	6.990672e-01
2.130000e+01	5.217371e-01
2.145000e+01	3.441930e-01
2.160000e+01	2.415430e-01
2.175000e+01	1.639158e-01
2.190000e+01	1.128163e-01
2.205000e+01	8.231296e-02
2.220000e+01	6.311312e-02
2.235000e+01	5.021762e-02
2.250000e+01	4.111345e-02
2.265000e+01	3.445021e-02
2.280000e+01	2.945736e-02
2.295000e+01	2.569858e-02
2.310000e+01	2.295428e-02
2.325000e+01	2.117250e-02
2.340000e+01	2.008230e-02
2.355000e+01	1.928434e-02
2.370000e+01	1.958166e-02
2.385000e+01	2.022200e-02
2.400000e+01	1.770983e-02
2.415000e+01	1.429943e-02
2.430000e+01	1.208155e-02
2.445000e+01	1.071933e-02
2.460000e+01	9.811952e-03
2.475000e+01	9.251924e-03
2.490000e+01	9.027424e-03
2.505000e+01	9.111047e-03
2.520000e+01	9.012585e-03
2.535000e+01	8.749885e-03
2.550000e+01	8.909914e-03
2.565000e+01	9.625380e-03
2.580000e+01	1.133610e-02
2.595000e+01	1.502415e-02
2.610000e+01	2.250575e-02
2.625000e+01	3.227115e-02
2.640000e+01	2.998856e-02
2.655000e+01	1.969846e-02
2.670000e+01	1.323274e-02
2.685000e+01	1.012561e-02
2.700000e+01	8.540300e-03
2.715000e+01	7.612806e-03
2.730000e+01	7.140285e-03
2.745000e+01	7.167530e-03
2.760000e+01	7.934551e-03
2.775000e+01	9.140634e-03
2.790000e+01	9.092471e-03
2.805000e+01	8.652925e-03
