q_bohr_inv,theta_deg,theta_rad,qx_bohr_inv,qy_bohr_inv,qz_bohr_inv
0.05,0.0,0.0,0.0,0.0,0.05
0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434
0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738
0.05,67.5,1.1780972450961724,0.04619397662556434,0.0,0.019134171618254495
0.05,90.0,1.5707963267948966,0.05,0.0,3.061616997868383e-18
0.21111111111111108,0.0,0.0,0.0,0.0,0.21111111111111108
0.21111111111111108,22.5,0.39269908169872414,0.08078872461040783,0.0,0.19504123464127163
0.21111111111111108,45.0,0.7853981633974483,0.14927809825049335,0.0,0.14927809825049335
0.21111111111111108,67.5,1.1780972450961724,0.19504123464127163,0.0,0.08078872461040784
0.21111111111111108,90.0,1.5707963267948966,0.21111111111111108,0.0,1.2926827324333171e-17
0.3722222222222222,0.0,0.0,0.0,0.0,0.3722222222222222
0.3722222222222222,22.5,0.39269908169872414,0.14244327760256117,0.0,0.3438884926569789
0.3722222222222222,45.0,0.7853981633974483,0.2632008574416593,0.0,0.26320085744165933
0.3722222222222222,67.5,1.1780972450961724,0.3438884926569789,0.0,0.1424432776025612
0.3722222222222222,90.0,1.5707963267948966,0.3722222222222222,0.0,2.279203765079796e-17
0.5333333333333333,0.0,0.0,0.0,0.0,0.5333333333333333
0.5333333333333333,22.5,0.39269908169872414,0.20409783059471454,0.0,0.49273575067268627
0.5333333333333333,45.0,0.7853981633974483,0.3771236166328253,0.0,0.37712361663282534
0.5333333333333333,67.5,1.1780972450961724,0.49273575067268627,0.0,0.20409783059471456
0.5333333333333333,90.0,1.5707963267948966,0.5333333333333333,0.0,3.265724797726275e-17
0.6944444444444444,0.0,0.0,0.0,0.0,0.6944444444444444
0.6944444444444444,22.5,0.39269908169872414,0.26575238358686787,0.0,0.6415830086883936
0.6944444444444444,45.0,0.7853981633974483,0.4910463758239913,0.0,0.49104637582399135
0.6944444444444444,67.5,1.1780972450961724,0.6415830086883936,0.0,0.2657523835868679
0.6944444444444444,90.0,1.5707963267948966,0.6944444444444444,0.0,4.252245830372754e-17
0.8555555555555555,0.0,0.0,0.0,0.0,0.8555555555555555
0.8555555555555555,22.5,0.39269908169872414,0.32740693657902126,0.0,0.7904302667041009
0.8555555555555555,45.0,0.7853981633974483,0.6049691350151573,0.0,0.6049691350151574
0.8555555555555555,67.5,1.1780972450961724,0.7904302667041009,0.0,0.3274069365790213
0.8555555555555555,90.0,1.5707963267948966,0.8555555555555555,0.0,5.238766863019233e-17
1.0166666666666666,0.0,0.0,0.0,0.0,1.0166666666666666
1.0166666666666666,22.5,0.39269908169872414,0.3890614895711746,0.0,0.9392775247198081
1.0166666666666666,45.0,0.7853981633974483,0.7188918942063232,0.0,0.7188918942063234
1.0166666666666666,67.5,1.1780972450961724,0.9392775247198081,0.0,0.38906148957117465
1.0166666666666666,90.0,1.5707963267948966,1.0166666666666666,0.0,6.225287895665711e-17
1.1777777777777778,0.0,0.0,0.0,0.0,1.1777777777777778
1.1777777777777778,22.5,0.39269908169872414,0.450716042563328,0.0,1.0881247827355156
1.1777777777777778,45.0,0.7853981633974483,0.8328146533974893,0.0,0.8328146533974894
1.1777777777777778,67.5,1.1780972450961724,1.0881247827355156,0.0,0.45071604256332803
1.1777777777777778,90.0,1.5707963267948966,1.1777777777777778,0.0,7.211808928312191e-17
1.3388888888888888,0.0,0.0,0.0,0.0,1.3388888888888888
1.3388888888888888,22.5,0.39269908169872414,0.5123705955554813,0.0,1.2369720407512228
1.3388888888888888,45.0,0.7853981633974483,0.9467374125886552,0.0,0.9467374125886553
1.3388888888888888,67.5,1.1780972450961724,1.2369720407512228,0.0,0.5123705955554814
1.3388888888888888,90.0,1.5707963267948966,1.3388888888888888,0.0,8.19832996095867e-17
1.5,0.0,0.0,0.0,0.0,1.5
1.5,22.5,0.39269908169872414,0.5740251485476346,0.0,1.38581929876693
1.5,45.0,0.7853981633974483,1.0606601717798212,0.0,1.0606601717798214
1.5,67.5,1.1780972450961724,1.38581929876693,0.0,0.5740251485476348
1.5,90.0,1.5707963267948966,1.5,0.0,9.184850993605148e-17
