iter,cost,mean_rel_alphaD
0,28892.025390625,0.9607564223372662
1000,38.27302932739258,0.009889806393382222
2000,5.292034149169922,0.004137033219081993
3000,0.700461745262146,0.002541650856141296
4000,0.23553428053855896,0.0020015414646910976
5000,0.15059760212898254,0.0015609991962575638
6000,0.0873962938785553,0.001209497233646186
7000,0.05588727071881294,0.001016034005966841
8000,0.041103292256593704,0.0008820635468583943
9000,0.039309289306402206,0.0008647731673704132
10000,0.02110111340880394,0.0006415404324847671
11000,0.015258239582180977,0.0005368722648721193
12000,0.034397441893815994,0.0007663603862042451
13000,0.04033711180090904,0.0008406970995308829
14000,0.026982657611370087,0.0006623588165185843
15000,0.007289597764611244,0.0003823225153539031
16000,0.0031093694269657135,0.00023773701390320264
17000,0.002505925949662924,0.0002254424675777331
18000,0.006329107563942671,0.00035509427219673734
19000,0.008892659097909927,0.00037866456848128507
20000,0.008974908851087093,0.0004242430019567858
21000,0.0010780571028590202,0.00015515709003072127
22000,0.0010112113086506724,0.00015217689739609644
23000,0.0008686564397066832,0.0001340565097542854
24000,0.0028741941787302494,0.0002365782573497715
25000,0.005162607878446579,0.00030119919131615496
26000,0.002337903715670109,0.00021487159117463938
27000,0.01691412180662155,0.0005888415137049457
28000,0.000963666825555265,0.00013534392732183885
29000,0.0027882042340934277,0.0002318843997431954
