iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,230.526123046875,0.13670607853182734,0.8632938966464916,0.0,0.36981856214284253
1000,0.2685982882976532,0.9465934763121622,0.053406547959243565,0.0,0.003139530533835032
2000,0.19017134606838226,0.9842630371308733,0.015736939607040583,0.0,0.0014276945390946617
3000,0.16555847227573395,0.9934035021652156,0.006596469708088095,0.0,0.0008486117843966786
4000,0.14894089102745056,0.9949720137177104,0.005028018719559303,0.0,0.0006438940369031598
5000,0.133573979139328,0.9952819043466988,0.004718127900352052,0.0,0.0005816275678313073
6000,0.12703298032283783,0.9955174398615655,0.004482570219033602,0.0,0.0005379037024223783
7000,0.12376890331506729,0.9963492012180847,0.0036507762078466137,0.0,0.0004943495994995347
8000,0.11807572096586227,0.9962003059720069,0.0037996900842416845,0.0,0.0005109198145504769
9000,0.10496591031551361,0.9930724007164534,0.006927598729007915,0.0,0.0006944858709471005
10000,0.09600088000297546,0.9975710553805892,0.002428918092725118,0.0,0.0003944795283403894
11000,0.09529175609350204,0.9819722572044082,0.018027766007370067,0.0,0.000942381198649087
12000,0.09226339310407639,0.9971465794121042,0.0028534537093983124,0.0,0.0003779303229522137
13000,0.09140684455633163,0.9978065633395794,0.0021934400036080445,0.0,0.00032199058568068047
14000,0.09087350964546204,0.9971252380535411,0.0028747305602452966,0.0,0.0003869481080836649
15000,0.09048197418451309,0.996428937561989,0.0035710753041451183,0.0,0.00040485419509612953
16000,0.09053315222263336,0.994674250692568,0.005325763130707585,0.0,0.0004646924003620114
17000,0.089940145611763,0.9973743248802434,0.00262565198299317,0.0,0.0003764084335134295
18000,0.09001722186803818,0.9934678358308833,0.006532159642720309,0.0,0.000533843466321888
19000,0.09097793698310852,0.9806972519198497,0.019302744241351873,0.0,0.0009343921613451103
20000,0.09001432359218597,0.9895089342249873,0.010491094874211999,0.0,0.0006883539734685413
21000,0.08951959013938904,0.9938376791368473,0.0061623254147109355,0.0,0.0005156052753832775
22000,0.08924492448568344,0.995629328522169,0.0043706812611874635,0.0,0.00044243943594720687
23000,0.08928485959768295,0.997250912099867,0.00274912212656519,0.0,0.00041402665613063345
24000,0.08995552361011505,0.9848582356286338,0.015141754018221204,0.0,0.0007967902476188842
25000,0.08885272592306137,0.9971619064213985,0.0028380529622339685,0.0,0.0003542580097721963
26000,0.08897244185209274,0.9937446819664136,0.006255334389117309,0.0,0.0005244520795411191
27000,0.08945034444332123,0.9872803378227664,0.012719671287397065,0.0,0.000765086471219287
28000,0.08854011446237564,0.9966055892072917,0.0033944328161340624,0.0,0.0004384906622901699
29000,0.0888184905052185,0.9976075864674622,0.0023923861714576175,0.0,0.0003577146006052976
