iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,25.976638793945312,0.3098417018864489,0.690158261400783,0.0,0.09452419642823175
1000,0.3979480266571045,0.997360352641969,0.0026396186892080533,0.0,0.0007397292719567544
2000,0.3858531415462494,0.9982520387024629,0.0017479901107357542,0.0,0.0005663040780860637
3000,0.379906564950943,0.9983362291841357,0.0016637354230311255,0.0,0.000553628713693401
4000,0.36535483598709106,0.9950291509921387,0.0049708541060424945,0.0,0.0010231025053522933
5000,0.1924702525138855,0.9844436478725596,0.015556338820775971,0.0,0.0012490705090048098
6000,0.18080639839172363,0.9917296537119061,0.008270346931961135,0.0,0.0009014265244837225
7000,0.17311237752437592,0.9924629272963987,0.0075370491666577,0.0,0.0008428568543770926
8000,0.17655596137046814,0.9680099624677279,0.03199007181939947,0.0,0.001767536768147012
9000,0.16580457985401154,0.9907485937080551,0.009251423142913197,0.0,0.000766812166437282
10000,0.16466458141803741,0.9705220229433128,0.02947796857287208,0.0,0.0016179223142585534
11000,0.15668681263923645,0.9922567354257327,0.007743303952259395,0.0,0.0008117111578748588
12000,0.15108296275138855,0.9921330552521618,0.007866896203878369,0.0,0.0007470591826508286
13000,0.14918451011180878,0.9927539076409642,0.007246134497642385,0.0,0.0007021151318184902
14000,0.1502329260110855,0.9866262128964791,0.013373753007971365,0.0,0.0010917154934396594
15000,0.14691008627414703,0.9943488005693091,0.0056512331087814555,0.0,0.0006227204413328718
16000,0.14810025691986084,0.984509057395028,0.015490986624193568,0.0,0.0012275034675693563
17000,0.14553295075893402,0.9950024322813652,0.0049975841170798166,0.0,0.0006006374897922289
18000,0.14513134956359863,0.9955194258491108,0.004480621878080209,0.0,0.0005691212307950393
19000,0.14485472440719604,0.9962016394137415,0.0037983220101232007,0.0,0.0005277641361270237
