-375.0,62.5,-62.5,-62.5
-109.375,210.9375,-23.4375,-132.8125
-250.0,125.0,-125.0,-125.0
-281.25,109.375,-15.625,-203.125
-273.4375,191.4062,-50.7812,-11.7188
-414.0625,121.0938,-136.7188,-97.6562
-335.9375,97.6562,-82.0312,-42.9688
-171.875,179.6875,-179.6875,-101.5625
-289.0625,183.5938,-74.2188,-160.1562
-31.25,234.375,-140.625,-78.125
-78.125,39.0625,-132.8125,-210.9375
-148.4375,128.9062,-113.2812,-74.2188
-343.75,203.125,-109.375,-234.375
-265.625,7.8125,-101.5625,-117.1875
-398.4375,3.9062,-238.2812,-199.2188
-312.5,31.25,-218.75,-156.25
-296.875,242.1875,-242.1875,-39.0625
-367.1875,144.5312,-191.4062,-121.0938
-492.1875,82.0312,-3.9062,-183.5938
-140.625,70.3125,-39.0625,-54.6875
-234.375,23.4375,-210.9375,-70.3125
-39.0625,58.5938,-199.2188,-35.1562
-62.5,156.25,-93.75,-31.25
-125.0,187.5,-187.5,-187.5
-156.25,46.875,-78.125,-140.625
-421.875,54.6875,-54.6875,-226.5625
-218.75,140.625,-46.875,-171.875
-93.75,78.125,-234.375,-109.375
-468.75,15.625,-171.875,-46.875
-187.5,93.75,-156.25,-218.75
