iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,21.138813018798828,0.3540315664975702,0.6459684109450062,0.0,0.09088000288662587
1000,0.1585168093442917,0.9981391974324215,0.0018608447957878462,0.0,0.00043025865001175274
2000,0.1484472155570984,0.99837414189986,0.0016258580021125514,0.0,0.00036029637274957705
3000,0.14130955934524536,0.9983522307627739,0.0016477838602421524,0.0,0.00036691702972732317
4000,0.12898173928260803,0.996238945874324,0.0037610812028395237,0.0,0.0005684518573474829
5000,0.12408968806266785,0.9937223191832188,0.006277668620770318,0.0,0.0006730332373129205
6000,0.12202154844999313,0.9896755631445789,0.010324433039199313,0.0,0.0008202436663193339
7000,0.11898523569107056,0.9961497008627715,0.0038502908208164744,0.0,0.0005309700551512102
8000,0.11737244576215744,0.996653497710313,0.0033464906355034447,0.0,0.0004901809601572627
9000,0.11585716903209686,0.9964569970867042,0.0035429750296075532,0.0,0.0004768100647562977
10000,0.11709903925657272,0.9862063234760686,0.01379369044218827,0.0,0.0010174806471069707
11000,0.11442787200212479,0.9950856376921614,0.004914390794158892,0.0,0.0006394687659389616
12000,0.11811915040016174,0.9736131993043383,0.026386814493716413,0.0,0.0013875322984457197
13000,0.11276011914014816,0.9942666402456337,0.005733355624703366,0.0,0.000585487605137719
14000,0.11181458830833435,0.9975706146926536,0.0024293793207562885,0.0,0.000452733240443853
15000,0.11378971487283707,0.9790187615112217,0.020981230304184677,0.0,0.001087417445978709
16000,0.11094187945127487,0.9973681642635135,0.0026318139627619654,0.0,0.00041379033727641104
17000,0.11051513254642487,0.9980993845517017,0.0019006241387499166,0.0,0.00036813240828638573
18000,0.110317163169384,0.9961939062111763,0.0038061209622430496,0.0,0.0005556894430118379
19000,0.11005198955535889,0.9965752321045773,0.0034247533503819123,0.0,0.0005399189608494956
