1.286,0.214
0.286,0.857
0.429,0.429
1.000,0.429
0.286,0.714
0.857,0.571
0.714,0.500
1.571,0.429
0.286,0.786
1.714,0.571
1.286,0.286
1.714,0.643
0.286,0.143
0.714,0.357
0.857,0.643
1.714,0.357
1.286,0.143
0.714,0.643
0.857,0.357
1.429,0.429
1.286,0.857
0.286,0.214
1.714,0.500
1.286,0.714
1.286,0.786
0.571,0.429
0.286,0.286
0.714,0.571
0.857,0.500
0.429,0.500
0.571,0.571
1.000,0.500
0.714,0.429
1.429,0.571
1.571,0.500
1.143,0.143
1.429,0.643
0.429,0.357
1.143,0.786
1.000,0.357
1.143,0.857
1.571,0.357
0.571,0.643
1.143,0.714
1.429,0.357
0.429,0.643
1.000,0.643
1.143,0.286
1.571,0.643
1.143,0.214
0.571,0.357
1.571,0.571
1.429,0.500
1.714,0.429
0.571,0.500
0.429,0.571
1.000,0.571
0.857,0.429
1.000,0.857
0.429,0.714
0.571,0.286
1.000,0.714
0.286,0.429
0.429,0.857
1.571,0.786
1.429,0.214
1.429,0.286
1.571,0.714
1.000,0.786
1.571,0.857
0.571,0.214
0.429,0.786
1.143,0.357
0.429,0.143
1.000,0.143
1.571,0.143
1.143,0.500
1.429,0.143
1.143,0.571
0.571,0.143
1.571,0.286
1.429,0.714
1.000,0.214
0.429,0.214
0.571,0.786
1.429,0.857
1.286,0.429
0.571,0.714
0.429,0.286
1.000,0.286
1.143,0.643
1.429,0.786
1.571,0.214
0.571,0.857
1.714,0.214
0.714,0.857
0.286,0.500
0.714,0.714
0.857,0.286
0.714,0.786
0.857,0.214
1.714,0.286
1.286,0.571
0.286,0.357
1.286,0.643
0.714,0.143
1.143,0.429
1.714,0.143
0.286,0.643
1.286,0.357
0.857,0.143
0.857,0.786
1.714,0.857
0.714,0.214
1.714,0.714
1.286,0.500
1.714,0.786
0.857,0.857
0.286,0.571
0.857,0.714
0.714,0.286
