iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,25.815807342529297,0.3095687761093196,0.6904312238906803,0.0,0.09358962307725388
1000,0.4647892117500305,0.9948165325680645,0.0051834759478839665,0.0,0.001122273892825801
2000,0.4130091965198517,0.9969478194602522,0.0030521833584578875,0.0,0.0008448534303248711
3000,0.39778077602386475,0.9958735499323159,0.0041264837238153195,0.0,0.0009299015396601141
4000,0.38892728090286255,0.9974893936767724,0.002510613656668915,0.0,0.0006988596543833159
5000,0.3822437524795532,0.9975454491870089,0.0024545537062902524,0.0,0.0006985249154604495
6000,0.37692636251449585,0.9966426699242146,0.0033573093825483985,0.0,0.0008798843330850033
7000,0.3665047883987427,0.9950142545125737,0.004985764545620133,0.0,0.0010143466724092185
8000,0.35830622911453247,0.9950289292926201,0.004971052187820901,0.0,0.0009707459944908419
9000,0.3526703119277954,0.9953011969593157,0.004698774652364291,0.0,0.0009479486984299404
10000,0.3493739068508148,0.9945919331695704,0.0054080964862322865,0.0,0.0009885045572399706
11000,0.30087581276893616,0.9618554085856408,0.038144609986591346,0.0,0.002263051987390176
12000,0.1878623366355896,0.9852565528282664,0.014743469480364755,0.0,0.0012587117920464716
13000,0.1719474196434021,0.9890690824560048,0.010930942594484053,0.0,0.0010774590637279574
14000,0.16763287782669067,0.9910341226555275,0.008965919706894044,0.0,0.0009761933875554405
15000,0.16509263217449188,0.9851475456800545,0.014852482526006665,0.0,0.001154428368959232
16000,0.1623704880475998,0.9923412097775625,0.007658767279288513,0.0,0.0008566445623271907
17000,0.160438671708107,0.9941562333371754,0.005843777546920146,0.0,0.0007648776387531955
18000,0.15913905203342438,0.9951165961477544,0.004883420677483447,0.0,0.000677041691808947
19000,0.1582494080066681,0.9956807657445834,0.0043192636812003984,0.0,0.0006446534453371689
