iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,20.559223175048828,0.36392949167423855,0.6360705315191065,0.0,0.09066858850974738
1000,0.13221560418605804,0.96963902985279,0.03036097719117861,0.0,0.0017059711305538216
2000,0.10023869574069977,0.9896399607248801,0.01036005321169245,0.0,0.0007433374073127407
3000,0.08453187346458435,0.9906998049300897,0.009300205398735165,0.0,0.0007195059921279954
4000,0.07530561089515686,0.9920065085322084,0.007993475235788854,0.0,0.0006005467161629099
5000,0.07089457660913467,0.992846264897966,0.0071536932287222625,0.0,0.0005540823571333095
6000,0.0683109313249588,0.9930917012068882,0.006908270247802867,0.0,0.0005236732833326529
7000,0.06352297216653824,0.9963174601089456,0.003682488118715553,0.0,0.00038958995355833947
8000,0.06105266138911247,0.9913802797891401,0.008619737372075722,0.0,0.000559294018381953
9000,0.05787309631705284,0.983106870073242,0.016893113834261838,0.0,0.0007468585649438345
10000,0.05516867712140083,0.9940300740842078,0.005969938576815849,0.0,0.0004362250497853857
11000,0.05429307371377945,0.992475051436835,0.007524958212074417,0.0,0.0004858810064233713
12000,0.05397435650229454,0.9924168818986417,0.007583106777824627,0.0,0.0004788840736008017
13000,0.05800766497850418,0.9320978948854284,0.06790213722489959,0.0,0.0014775767423968562
14000,0.05349620804190636,0.994946825197477,0.005053197652009407,0.0,0.0003850219078029426
15000,0.053613174706697464,0.9944957074842633,0.005504274058888342,0.0,0.0004118591036633505
16000,0.053203143179416656,0.9961903454862582,0.0038096293502623306,0.0,0.00035407572021655005
17000,0.05302346870303154,0.9953623802190611,0.004637591238875884,0.0,0.00037259600908778613
18000,0.05286332592368126,0.995964875104569,0.004035108929521392,0.0,0.00035451065599758383
19000,0.05283801630139351,0.9944987861682759,0.00550121933984729,0.0,0.00040321929656257464
