# Re(EQRPA)	Im(Strength)
0.000000e+00	3.513711e-03
1.500000e-01	3.617186e-03
3.000000e-01	3.726075e-03
4.500000e-01	3.840802e-03
6.000000e-01	3.961838e-03
7.500000e-01	4.089704e-03
9.000000e-01	4.224981e-03
1.050000e+00	4.368315e-03
1.200000e+00	4.520429e-03
1.350000e+00	4.682131e-03
1.500000e+00	4.854513e-03
1.650000e+00	5.038261e-03
1.800000e+00	5.234700e-03
1.950000e+00	5.445145e-03
2.100000e+00	5.671092e-03
2.250000e+00	5.914254e-03
2.400000e+00	6.176593e-03
2.550000e+00	6.460371e-03
2.700000e+00	6.768208e-03
2.850000e+00	7.103146e-03
3.000000e+00	7.468745e-03
3.150000e+00	7.869183e-03
3.300000e+00	8.309398e-03
3.450000e+00	8.795257e-03
3.600000e+00	9.335577e-03
3.750000e+00	9.935764e-03
3.900000e+00	1.060729e-02
4.050000e+00	1.136288e-02
4.200000e+00	1.221798e-02
4.350000e+00	1.319222e-02
4.500000e+00	1.430980e-02
4.650000e+00	1.560196e-02
4.800000e+00	1.710842e-02
4.950000e+00	1.888201e-02
5.100000e+00	2.099197e-02
5.250000e+00	2.353252e-02
5.400000e+00	2.663288e-02
5.550000e+00	3.047564e-02
5.700000e+00	3.532276e-02
5.850000e+00	4.156409e-02
6.000000e+00	4.979893e-02
6.150000e+00	6.098148e-02
6.300000e+00	7.670747e-02
6.450000e+00	9.979414e-02
6.600000e+00	1.355425e-01
6.750000e+00	1.945322e-01
6.900000e+00	2.981259e-01
7.050000e+00	4.930903e-01
7.200000e+00	8.779190e-01
7.350000e+00	1.388639e+00
7.500000e+00	1.264382e+00
7.650000e+00	7.407732e-01
7.800000e+00	4.204020e-01
7.950000e+00	2.605880e-01
8.100000e+00	1.767578e-01
8.250000e+00	1.293883e-01
8.400000e+00	1.011865e-01
8.550000e+00	8.424349e-02
8.700000e+00	7.496484e-02
8.850000e+00	7.224039e-02
9.000000e+00	7.726301e-02
9.150000e+00	9.495605e-02
9.300000e+00	1.367617e-01
9.450000e+00	2.047359e-01
9.600000e+00	2.092092e-01
9.750000e+00	1.370249e-01
9.900000e+00	8.634096e-02
1.005000e+01	6.059083e-02
1.020000e+01	4.714021e-02
1.035000e+01	3.971654e-02
1.050000e+01	3.567205e-02
1.065000e+01	3.401967e-02
1.080000e+01	3.481832e-02
1.095000e+01	3.911414e-02
1.110000e+01	4.621145e-02
1.125000e+01	4.572259e-02
1.140000e+01	4.042703e-02
1.155000e+01	4.058381e-02
1.170000e+01	4.753733e-02
1.185000e+01	5.394489e-02
1.200000e+01	4.683940e-02
1.215000e+01	3.757344e-02
1.230000e+01	3.260123e-02
1.245000e+01	3.048447e-02
1.260000e+01	2.982009e-02
1.275000e+01	2.996512e-02
1.290000e+01	3.064920e-02
1.305000e+01	3.177527e-02
1.320000e+01	3.331357e-02
1.335000e+01	3.514596e-02
1.350000e+01	3.702093e-02
1.365000e+01	3.896862e-02
1.380000e+01	4.135745e-02
1.395000e+01	4.423911e-02
1.410000e+01	4.762302e-02
1.425000e+01	5.156043e-02
1.440000e+01	5.613735e-02
1.455000e+01	6.147016e-02
1.470000e+01	6.771507e-02
1.485000e+01	7.507768e-02
1.500000e+01	8.383012e-02
1.515000e+01	9.434533e-02
1.530000e+01	1.071375e-01
1.545000e+01	1.228088e-01
1.560000e+01	1.418534e-01
1.575000e+01	1.656630e-01
1.590000e+01	1.964027e-01
1.605000e+01	2.368388e-01
1.620000e+01	2.913248e-01
1.635000e+01	3.669545e-01
1.650000e+01	4.759419e-01
1.665000e+01	6.404316e-01
1.680000e+01	9.034849e-01
1.695000e+01	1.355547e+00
1.710000e+01	2.200370e+00
1.725000e+01	3.885786e+00
1.740000e+01	6.825390e+00
1.755000e+01	8.193662e+00
1.770000e+01	5.435801e+00
1.785000e+01	3.010138e+00
1.800000e+01	1.764896e+00
1.815000e+01	1.127445e+00
1.830000e+01	7.735300e-01
1.845000e+01	5.610327e-01
