iter,cost,mean_rel_alphaD
0,28493.99609375,0.9551936061396072
1000,37.528221130371094,0.009836279144283892
2000,4.90138578414917,0.004436506600207629
3000,0.8616313934326172,0.0033219364444655635
4000,0.4113086462020874,0.002688544847673645
5000,0.18444134294986725,0.0018563341884036168
6000,0.1182452142238617,0.00150611603603658
7000,0.07922885566949844,0.0012375671148646885
8000,0.053966399282217026,0.001037311260855331
9000,0.03707952797412872,0.0008225794156940087
10000,0.028070885688066483,0.0006985087839345635
11000,0.020498719066381454,0.0005922551038680768
12000,0.01668088510632515,0.000530452032447213
13000,0.01179669238626957,0.0004562967176821087
14000,0.007403386291116476,0.00035953577692269845
15000,0.014392132870852947,0.0005450664288719807
16000,0.005419911816716194,0.0003411060066676152
17000,0.0023622489534318447,0.00021390763070186692
18000,0.001974515151232481,0.00019820991080928728
19000,0.016216155141592026,0.0004988045922323851
20000,0.0014638722641393542,0.0001744611305735085
21000,0.0024236442986875772,0.0002172771626703357
22000,0.001169402850791812,0.0001585665903772554
23000,0.0009910862427204847,0.00014107268609419245
24000,0.0011733779683709145,0.00015459919333954173
25000,0.0006536474684253335,0.00011438969704553793
26000,0.0005775463650934398,0.00010243428816915807
27000,0.003545843530446291,0.00026951358196722764
28000,0.0005482151173055172,9.967557256006518e-05
29000,0.003043058095499873,0.0002458292018339903
