grid_index,q_bohr_inv,theta_deg,theta_rad,qx_bohr_inv,qy_bohr_inv,qz_bohr_inv,state,excitation_energy_eV,amp_cos,amp_sin,strength
0,0.05,0.0,0.0,0.0,0.0,0.05,1,10.601089661427809,-2.8452395621121803e-16,-1.2216282875402636e-10,1.4923756729266526e-20
0,0.05,0.0,0.0,0.0,0.0,0.05,2,12.52937925367041,-2.319458251738222e-12,-1.0915235101096212e-14,5.3800057239138416e-24
0,0.05,0.0,0.0,0.0,0.0,0.05,3,12.742641025626208,-4.4996059098262255e-13,0.048832618625684505,0.002384624641841549
0,0.05,0.0,0.0,0.0,0.0,0.05,4,13.130725291782012,-6.201484089386926e-13,1.4199502703965997e-15,3.845860653679624e-25
0,0.05,0.0,0.0,0.0,0.0,0.05,5,13.130725291783854,-5.435642370737038e-12,2.850065026545191e-15,2.9546216105422416e-23
0,0.05,0.0,0.0,0.0,0.0,0.05,6,13.134244278463646,-0.0012084339879403151,-8.326884010733558e-12,1.4603127032093336e-06
0,0.05,0.0,0.0,0.0,0.0,0.05,7,13.987379164703443,-1.064636300885854e-12,6.715091101609849e-16,1.1334509040883997e-24
0,0.05,0.0,0.0,0.0,0.0,0.05,8,13.987379164704198,7.798609687661758e-12,-3.1731827671012666e-15,6.08183231295807e-23
0,0.05,0.0,0.0,0.0,0.0,0.05,9,14.627113026715655,7.530124758667863e-16,-1.5616285524440554e-10,2.4386837358652185e-20
0,0.05,0.0,0.0,0.0,0.0,0.05,10,15.474927381001192,6.950156503925946e-13,-0.031561935201602394,0.0009961557536701483
0,0.05,0.0,0.0,0.0,0.0,0.05,11,16.694032611807582,-9.394703403123614e-11,-2.4962779297778347e-14,8.82604582640659e-21
0,0.05,0.0,0.0,0.0,0.0,0.05,12,16.966418124622876,-0.0019840518153186183,-1.6899917684721033e-11,3.936461605869105e-06
0,0.05,0.0,0.0,0.0,0.0,0.05,13,17.036546647825844,-3.1562585873451345e-16,-2.03900494684715e-12,4.157541272886832e-24
0,0.05,0.0,0.0,0.0,0.0,0.05,14,17.03654664784861,-4.217368620788952e-17,-1.3311287898566595e-12,1.7719038569638746e-24
0,0.05,0.0,0.0,0.0,0.0,0.05,15,17.05320327059592,3.421273727774422e-17,-1.5921612203630459e-12,2.534977352798455e-24
0,0.05,0.0,0.0,0.0,0.0,0.05,16,17.053203270617626,4.030287116046111e-16,-1.0119012823362389e-12,1.023944367625867e-24
0,0.05,0.0,0.0,0.0,0.0,0.05,17,17.76622138238341,8.826146809404575e-11,3.207624476401547e-16,7.790086750219145e-21
0,0.05,0.0,0.0,0.0,0.0,0.05,18,18.825760908026602,-1.6411158389317207e-17,-7.17972689982152e-10,5.154847835602076e-19
0,0.05,0.0,0.0,0.0,0.0,0.05,19,18.923821923349376,0.0005026197339653253,6.884022485571811e-12,2.526265969713744e-07
0,0.05,0.0,0.0,0.0,0.0,0.05,20,20.3060660028183,-1.1460360489779083e-13,0.025208906014937513,0.0006354889424699527
0,0.05,0.0,0.0,0.0,0.0,0.05,21,23.757108846036733,-3.3085745070552368e-12,1.8651539773990726e-16,1.0946665303523797e-23
0,0.05,0.0,0.0,0.0,0.0,0.05,22,23.75710884604802,-2.1866268642165747e-11,-5.6689827769020095e-15,4.781337364687268e-22
0,0.05,0.0,0.0,0.0,0.0,0.05,23,23.84422923633635,2.252787528343268e-12,2.585277754210256e-14,5.075720013965613e-24
0,0.05,0.0,0.0,0.0,0.0,0.05,24,23.844229236379192,3.0333087993711216e-11,-1.6628992007567345e-13,9.201238795717462e-22
0,0.05,0.0,0.0,0.0,0.0,0.05,25,24.180005762923916,4.0200000431763865e-13,-5.716167849026709e-17,1.6160400673883897e-25
0,0.05,0.0,0.0,0.0,0.0,0.05,26,24.18000576292419,6.521779918805018e-13,3.26953428876611e-16,4.253362399918286e-25
0,0.05,0.0,0.0,0.0,0.0,0.05,27,25.328884414515628,1.9245307099094234e-15,1.4848138540687547e-10,2.204672181604891e-20
0,0.05,0.0,0.0,0.0,0.0,0.05,28,25.91832376952536,-1.4915043021762707e-12,0.011463919840154487,0.00013142145810148768
0,0.05,0.0,0.0,0.0,0.0,0.05,29,26.291932671007505,-0.0013284396336660047,-1.3903340396827718e-11,1.7647518602946689e-06
0,0.05,0.0,0.0,0.0,0.0,0.05,30,26.43209942982244,1.1601372864779223e-15,4.852495586047634e-12,2.3546714758530293e-23
0,0.05,0.0,0.0,0.0,0.0,0.05,31,26.432099429879074,4.166649499028433e-16,-6.075731201301219e-12,3.691450980407483e-23
0,0.05,0.0,0.0,0.0,0.0,0.05,32,26.518243522671032,-3.12057990523041e-17,-7.660750457338463e-12,5.868709757058528e-23
0,0.05,0.0,0.0,0.0,0.0,0.05,33,26.518243522730998,8.11769957609267e-17,9.52570498888805e-12,9.073905554191639e-23
0,0.05,0.0,0.0,0.0,0.0,0.05,34,26.54608589484942,-2.337673675062422e-12,-1.8149764953641661e-16,5.464718244021247e-24
0,0.05,0.0,0.0,0.0,0.0,0.05,35,26.546085894850595,3.936697837679505e-14,1.5208925549105105e-15,1.5520721006826315e-27
0,0.05,0.0,0.0,0.0,0.0,0.05,36,26.692547387677717,-3.788953034685294e-11,8.839074016450929e-15,1.4356165880343193e-21
0,0.05,0.0,0.0,0.0,0.0,0.05,37,28.28123647832734,-9.517166899012558e-15,1.415238562424196e-10,2.0029001976301514e-20
0,0.05,0.0,0.0,0.0,0.0,0.05,38,28.281236478348614,1.603197810558818e-15,3.276753285263788e-11,1.0737112118189461e-21
0,0.05,0.0,0.0,0.0,0.0,0.05,39,28.291774942128974,8.426858399553774e-15,-9.310992061167086e-11,8.669457387323593e-21
0,0.05,0.0,0.0,0.0,0.0,0.05,40,28.29177494215093,1.4650861482568766e-15,7.501941405271327e-12,5.627912699460176e-23
0,0.05,0.0,0.0,0.0,0.0,0.05,41,28.48692673989627,-1.3161098608361638e-12,-1.738214417412381e-16,1.73214519600408e-24
0,0.05,0.0,0.0,0.0,0.0,0.05,42,28.48692674002121,9.296386916876927e-15,-1.7100073045248521e-18,8.642281263240549e-29
0,0.05,0.0,0.0,0.0,0.0,0.05,43,28.53881613874187,-1.021661841128727e-12,-5.155373354064342e-16,1.0437931833972843e-24
0,0.05,0.0,0.0,0.0,0.0,0.05,44,28.538816138886954,7.086336198047088e-15,-1.4673350445800252e-15,5.236923284480512e-29
0,0.05,0.0,0.0,0.0,0.0,0.05,45,29.479812918090055,0.0003543243667641138,-6.5628926968592386e-15,1.2554575688279022e-07
0,0.05,0.0,0.0,0.0,0.0,0.05,46,29.577235615176054,-3.0649060904193436e-14,-5.066269717510526e-09,2.5667088851503546e-17
0,0.05,0.0,0.0,0.0,0.0,0.05,47,30.134609682809216,-1.8731115356843148e-13,0.009358730238307382,8.758583167340894e-05
0,0.05,0.0,0.0,0.0,0.0,0.05,48,30.42285909291524,-3.856506614364643e-14,-2.20069422667145e-09,4.843055080792315e-18
0,0.05,0.0,0.0,0.0,0.0,0.05,49,30.57781776649785,1.8199719880412742e-17,-1.3914233021402414e-11,1.9360588057421658e-22
0,0.05,0.0,0.0,0.0,0.0,0.05,50,30.57781776670913,-7.036004625483895e-18,1.2046452712646418e-11,1.4511702295807575e-22
0,0.05,0.0,0.0,0.0,0.0,0.05,51,31.301447737714017,-1.012721880122839e-16,-3.278136025483735e-12,1.0746175811830356e-23
0,0.05,0.0,0.0,0.0,0.0,0.05,52,31.30144773792052,-6.336064047781144e-16,-2.9854081755956226e-12,8.91266237637026e-24
