dB/dw(f,omega) = -1/pi * Im[S(f,omega)].

Nucleus: Yb 160.
Parametrization of the Lagrangian: DD-PC1.
Ground state deformation beta = +0.220.
Isovector J = 1, K = 1 excitation.
Gamma smearing = 1.000 [MeV].
Fully self-consistent response.

n0f = 16(17) oscillator shells for large(small) spinor component.
Gaussian quadrature mesh: NGH = 48, NGL = 48.
Oscillator basis deformation beta0 = +0.300.
Coulomb included in calculation.  
Pairing included in calculation.  


 omega [MeV]           dB/dw(f,omega) [e^2fm^2/MeV]   S(f,omega) [e^2fm^2/MeV]                  rel. residual error
 0.560000000E+01       0.452719552E-01               -0.234814599E+01 + -0.142226042E+00 i      0.994E-06                         
 0.570000000E+01       0.467659715E-01               -0.236149024E+01 + -0.146919632E+00 i      0.900E-06                         
 0.580000000E+01       0.483176113E-01               -0.237524050E+01 + -0.151794253E+00 i      0.821E-06                         
 0.590000000E+01       0.499314284E-01               -0.238940766E+01 + -0.156864209E+00 i      0.760E-06                         
 0.600000000E+01       0.516122241E-01               -0.240400173E+01 + -0.162144584E+00 i      0.714E-06                         
 0.610000000E+01       0.533648742E-01               -0.241903191E+01 + -0.167650697E+00 i      0.683E-06                         
 0.620000000E+01       0.551942075E-01               -0.243450719E+01 + -0.173397717E+00 i      0.662E-06                         
 0.630000000E+01       0.571050122E-01               -0.245043699E+01 + -0.179400687E+00 i      0.647E-06                         
 0.640000000E+01       0.591021965E-01               -0.246683184E+01 + -0.185675026E+00 i      0.638E-06                         
 0.650000000E+01       0.611910477E-01               -0.248370361E+01 + -0.192237346E+00 i      0.635E-06                         
 0.660000000E+01       0.633774801E-01               -0.250106525E+01 + -0.199106226E+00 i      0.637E-06                         
 0.670000000E+01       0.656681757E-01               -0.251893031E+01 + -0.206302658E+00 i      0.641E-06                         
 0.680000000E+01       0.680706306E-01               -0.253731263E+01 + -0.213850193E+00 i      0.637E-06                         
 0.690000000E+01       0.705932414E-01               -0.255622638E+01 + -0.221775209E+00 i      0.622E-06                         
 0.700000000E+01       0.732455988E-01               -0.257568621E+01 + -0.230107835E+00 i      0.597E-06                         
 0.710000000E+01       0.760390191E-01               -0.259570667E+01 + -0.238883624E+00 i      0.582E-06                         
 0.720000000E+01       0.789871171E-01               -0.261630028E+01 + -0.248145347E+00 i      0.615E-06                         
 0.730000000E+01       0.821060979E-01               -0.263747423E+01 + -0.257943914E+00 i      0.751E-06                         
 0.740000000E+01       0.854145262E-01               -0.265922622E+01 + -0.268337648E+00 i      0.993E-06                         
 0.750000000E+01       0.889324878E-01               -0.268154112E+01 + -0.279389650E+00 i      0.436E-06                         
 0.760000000E+01       0.926803258E-01               -0.270438533E+01 + -0.291163831E+00 i      0.470E-06                         
 0.770000000E+01       0.966764151E-01               -0.272770764E+01 + -0.303717915E+00 i      0.495E-06                         
 0.780000000E+01       0.100935052E+00               -0.275143756E+01 + -0.317096818E+00 i      0.514E-06                         
 0.790000000E+01       0.105463684E+00               -0.277548828E+01 + -0.331323934E+00 i      0.529E-06                         
 0.800000000E+01       0.110260158E+00               -0.279976311E+01 + -0.346392501E+00 i      0.549E-06                         
 0.810000000E+01       0.115310505E+00               -0.282416642E+01 + -0.362258634E+00 i      0.588E-06                         
 0.820000000E+01       0.120588024E+00               -0.284861891E+01 + -0.378838449E+00 i      0.655E-06                         
 0.830000000E+01       0.126054572E+00               -0.287307580E+01 + -0.396012117E+00 i      0.746E-06                         
 0.840000000E+01       0.131664820E+00               -0.289754409E+01 + -0.413637233E+00 i      0.851E-06                         
 0.850000000E+01       0.137373504E+00               -0.292209332E+01 + -0.431571590E+00 i      0.967E-06                         
 0.860000000E+01       0.143144125E+00               -0.294685422E+01 + -0.449700533E+00 i      0.569E-06                         
 0.870000000E+01       0.148957173E+00               -0.297200080E+01 + -0.467962760E+00 i      0.698E-06                         
 0.880000000E+01       0.154813732E+00               -0.299772582E+01 + -0.486361684E+00 i      0.801E-06                         
 0.890000000E+01       0.160734819E+00               -0.302421014E+01 + -0.504963325E+00 i      0.860E-06                         
 0.900000000E+01       0.166756015E+00               -0.305160250E+01 + -0.523879471E+00 i      0.901E-06                         
 0.910000000E+01       0.172920789E+00               -0.308001235E+01 + -0.543246680E+00 i      0.432E-06                         
 0.920000000E+01       0.179274297E+00               -0.310951116E+01 + -0.563206814E+00 i      0.503E-06                         
 0.930000000E+01       0.185859650E+00               -0.314014430E+01 + -0.583895312E+00 i      0.567E-06                         
 0.940000000E+01       0.192715670E+00               -0.317194218E+01 + -0.605434133E+00 i      0.610E-06                         
 0.950000000E+01       0.199876998E+00               -0.320493419E+01 + -0.627932107E+00 i      0.665E-06                         
 0.960000000E+01       0.207376353E+00               -0.323916136E+01 + -0.651492026E+00 i      0.775E-06                         
 0.970000000E+01       0.215249117E+00               -0.327468420E+01 + -0.676225045E+00 i      0.923E-06                         
 0.980000000E+01       0.223538787E+00               -0.331158148E+01 + -0.702267812E+00 i      0.427E-06                         
 0.990000000E+01       0.232303860E+00               -0.334994192E+01 + -0.729804099E+00 i      0.464E-06                         
 0.100000000E+02       0.241620245E+00               -0.338983933E+01 + -0.759072386E+00 i      0.519E-06                         
 0.101000000E+02       0.251582711E+00               -0.343130843E+01 + -0.790370397E+00 i      0.579E-06                         
 0.102000000E+02       0.262301178E+00               -0.347431678E+01 + -0.824043455E+00 i      0.657E-06                         
 0.103000000E+02       0.273893422E+00               -0.351874277E+01 + -0.860461562E+00 i      0.754E-06                         
 0.104000000E+02       0.286475401E+00               -0.356436373E+01 + -0.899989016E+00 i      0.827E-06                         
