# Re(EQRPA)	Im(Strength)
0.000000e+00	7.077379e-04
1.500000e-01	7.375670e-04
3.000000e-01	7.660450e-04
4.500000e-01	7.932402e-04
6.000000e-01	8.192204e-04
7.500000e-01	8.440529e-04
9.000000e-01	8.678039e-04
1.050000e+00	8.905378e-04
1.200000e+00	9.123167e-04
1.350000e+00	9.332016e-04
1.500000e+00	9.532552e-04
1.650000e+00	9.725442e-04
1.800000e+00	9.911388e-04
1.950000e+00	1.009110e-03
2.100000e+00	1.026524e-03
2.250000e+00	1.043445e-03
2.400000e+00	1.059920e-03
2.550000e+00	1.075940e-03
2.700000e+00	1.094097e-03
2.850000e+00	1.110426e-03
3.000000e+00	1.125687e-03
3.150000e+00	1.141644e-03
3.300000e+00	1.156701e-03
3.450000e+00	1.171778e-03
3.600000e+00	1.186989e-03
3.750000e+00	1.202468e-03
3.900000e+00	1.218284e-03
4.050000e+00	1.235119e-03
4.200000e+00	1.251678e-03
4.350000e+00	1.269038e-03
4.500000e+00	1.287277e-03
4.650000e+00	1.306456e-03
4.800000e+00	1.326750e-03
4.950000e+00	1.348173e-03
5.100000e+00	1.370974e-03
5.250000e+00	1.396740e-03
5.400000e+00	1.424059e-03
5.550000e+00	1.460167e-03
5.700000e+00	1.499381e-03
5.850000e+00	1.545695e-03
6.000000e+00	1.588502e-03
6.150000e+00	1.684198e-03
6.300000e+00	1.805742e-03
6.450000e+00	2.010053e-03
6.600000e+00	2.345226e-03
6.750000e+00	2.571609e-03
6.900000e+00	2.386307e-03
7.050000e+00	2.221240e-03
7.200000e+00	2.189332e-03
7.350000e+00	2.238221e-03
7.500000e+00	2.340658e-03
7.650000e+00	2.487909e-03
7.800000e+00	2.683443e-03
7.950000e+00	2.938803e-03
8.100000e+00	3.274604e-03
8.250000e+00	3.724224e-03
8.400000e+00	4.345048e-03
8.550000e+00	5.235119e-03
8.700000e+00	6.583726e-03
8.850000e+00	8.745900e-03
9.000000e+00	1.231005e-02
9.150000e+00	1.782054e-02
9.300000e+00	2.779371e-02
9.450000e+00	4.782390e-02
9.600000e+00	7.082171e-02
9.750000e+00	5.929403e-02
9.900000e+00	3.470943e-02
1.005000e+01	2.070911e-02
1.020000e+01	1.383167e-02
1.035000e+01	1.034486e-02
1.050000e+01	8.601044e-03
1.065000e+01	7.968247e-03
1.080000e+01	8.357380e-03
1.095000e+01	1.011699e-02
1.110000e+01	1.308188e-02
1.125000e+01	1.399743e-02
1.140000e+01	1.439613e-02
1.155000e+01	1.873420e-02
1.170000e+01	2.711420e-02
1.185000e+01	3.203710e-02
1.200000e+01	2.541930e-02
1.215000e+01	1.553719e-02
1.230000e+01	9.855214e-03
1.245000e+01	6.947741e-03
1.260000e+01	5.363638e-03
1.275000e+01	4.444551e-03
1.290000e+01	3.903772e-03
1.305000e+01	3.627606e-03
1.320000e+01	3.517952e-03
1.335000e+01	3.417794e-03
1.350000e+01	3.184974e-03
1.365000e+01	2.855824e-03
1.380000e+01	2.635573e-03
1.395000e+01	2.502443e-03
1.410000e+01	2.418245e-03
1.425000e+01	2.366417e-03
1.440000e+01	2.340868e-03
1.455000e+01	2.326658e-03
1.470000e+01	2.325688e-03
1.485000e+01	2.334704e-03
1.500000e+01	2.372551e-03
1.515000e+01	2.436860e-03
1.530000e+01	2.542568e-03
1.545000e+01	2.611988e-03
1.560000e+01	2.570519e-03
1.575000e+01	2.543130e-03
1.590000e+01	2.556539e-03
1.605000e+01	2.592436e-03
1.620000e+01	2.644460e-03
1.635000e+01	2.705821e-03
1.650000e+01	2.776687e-03
1.665000e+01	2.857964e-03
1.680000e+01	2.946232e-03
1.695000e+01	3.045248e-03
1.710000e+01	3.157555e-03
1.725000e+01	3.284654e-03
1.740000e+01	3.437044e-03
1.755000e+01	3.619343e-03
1.770000e+01	3.838680e-03
1.785000e+01	4.165262e-03
1.800000e+01	4.475517e-03
1.815000e+01	4.597520e-03
1.830000e+01	4.787220e-03
1.845000e+01	5.151094e-03
1.860000e+01	5.672034e-03
1.875000e+01	5.967153e-03
1.890000e+01	5.995067e-03
1.905000e+01	6.160038e-03
1.920000e+01	6.467539e-03
1.935000e+01	6.876454e-03
1.950000e+01	7.374959e-03
1.965000e+01	7.954056e-03
1.980000e+01	8.628913e-03
1.995000e+01	9.403740e-03
2.010000e+01	1.031251e-02
2.025000e+01	1.139174e-02
2.040000e+01	1.265339e-02
2.055000e+01	1.415706e-02
2.070000e+01	1.597356e-02
2.085000e+01	1.820480e-02
2.100000e+01	2.097625e-02
2.115000e+01	2.454505e-02
2.130000e+01	2.921753e-02
2.145000e+01	3.525989e-02
2.160000e+01	4.318969e-02
2.175000e+01	5.367539e-02
2.190000e+01	6.623853e-02
2.205000e+01	8.459203e-02
2.220000e+01	1.141410e-01
2.235000e+01	1.634313e-01
2.250000e+01	2.512671e-01
2.265000e+01	4.207899e-01
2.280000e+01	7.570800e-01
2.295000e+01	1.220851e+00
2.310000e+01	1.144956e+00
2.325000e+01	6.749285e-01
2.340000e+01	3.802351e-01
2.355000e+01	2.342820e-01
2.370000e+01	1.594524e-01
2.385000e+01	1.174272e-01
2.400000e+01	8.765665e-02
2.415000e+01	6.559965e-02
2.430000e+01	5.086282e-02
2.445000e+01	4.081441e-02
2.460000e+01	3.362591e-02
2.475000e+01	2.832921e-02
2.490000e+01	2.438496e-02
2.505000e+01	2.145383e-02
2.520000e+01	1.905853e-02
2.535000e+01	1.689707e-02
2.550000e+01	1.523327e-02
2.565000e+01	1.409965e-02
2.580000e+01	1.353086e-02
2.595000e+01	1.368102e-02
2.610000e+01	1.470380e-02
2.625000e+01	1.710152e-02
2.640000e+01	1.825652e-02
2.655000e+01	1.473588e-02
2.670000e+01	1.140466e-02
2.685000e+01	9.521806e-03
2.700000e+01	8.364234e-03
2.715000e+01	7.649358e-03
2.730000e+01	7.211744e-03
2.745000e+01	6.971062e-03
2.760000e+01	6.914354e-03
2.775000e+01	7.006689e-03
2.790000e+01	7.162014e-03
2.805000e+01	7.525737e-03
2.820000e+01	8.322920e-03
2.835000e+01	9.585132e-03
2.850000e+01	1.072269e-02
2.865000e+01	1.230163e-02
2.880000e+01	1.551259e-02
2.895000e+01	2.131352e-02
2.910000e+01	3.252199e-02
2.925000e+01	4.902544e-02
2.940000e+01	6.031347e-02
2.955000e+01	6.099783e-02
2.970000e+01	4.662086e-02
2.985000e+01	3.206245e-02
3.000000e+01	2.511784e-02
