iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,21.267065048217773,0.3586204683792483,0.6413795540421416,0.0,0.09089377983189796
1000,0.1589120328426361,0.9981990558123912,0.001800990156824018,0.0,0.00042148991357956355
2000,0.14769841730594635,0.9981378897812755,0.001862121253470459,0.0,0.0003982217697242903
3000,0.13640734553337097,0.9929698490584917,0.007030123631466499,0.0,0.0005745374141516849
4000,0.12640054523944855,0.9973400834673627,0.0026599225191589323,0.0,0.00043029903657751595
5000,0.12445402145385742,0.9962875216954854,0.0037124939726032235,0.0,0.00045327952500218204
6000,0.12177537381649017,0.9970640733892325,0.002935901277188647,0.0,0.00046004833780995753
7000,0.12000225484371185,0.9929338158735362,0.007066184126463778,0.0,0.000666808739128993
8000,0.11817042529582977,0.9938866620522874,0.006113336469991046,0.0,0.0006376665497763315
9000,0.11855389922857285,0.9838501486453493,0.016149831715427977,0.0,0.0010233763524699908
10000,0.11655721813440323,0.9907233071753501,0.009276716795432384,0.0,0.0007924081920646906
11000,0.11479690670967102,0.9972476891544402,0.002752279408519592,0.0,0.00044412169939304496
12000,0.11404026299715042,0.9964203453170197,0.0035796562142200315,0.0,0.0005092510822706872
13000,0.1133466586470604,0.9944121298896328,0.005587868056220643,0.0,0.0006171229505709733
14000,0.11262829601764679,0.9937831727186213,0.006216812293829201,0.0,0.000662120326764248
15000,0.11223319917917252,0.9932683138289203,0.006731677354345899,0.0,0.0006824672985966938
16000,0.11120575666427612,0.99724369587554,0.0027563229676913453,0.0,0.00043961477950799034
17000,0.11190573871135712,0.9872295341581948,0.01277047000299739,0.0,0.0008688591842529461
18000,0.11305136978626251,0.9778729334527873,0.022127048011605498,0.0,0.001193300009870069
19000,0.11028791218996048,0.9935241075668296,0.006475905099870003,0.0,0.0006707308526313839
